news_outlet,entity,wikidata_id
kritisches_netzwerk,Kritisches Netzwerk,
merkur,,Q895736
spiegel_start,,Q131478
anti_spiegel,,Q61937639
klasse_gegen_klasse,,Q65963858
rubikon,,Q59772186
taz,,Q161423
rationalgalarie,Rationalgalerie,
nachdenkseiten,,Q1962109
tagesspiegel,,Q10189
faz,,Q10184
deutsche_rt,,Q19633672
bild,,Q156203
sueddeutsche_zeitung,,Q158870
man tau,Man Tau,
vice,,Q249838
jungle,,Q315829
opposition24,Opposition24,
journalistenwatch,,Q48756561
politplatschquatsch,Politplatschquatsch,
blog_campact,,Q1030068
neues_deutschland,,Q158547
jungewelt,,Q162563
welt,,Q29872
jungefreiheit,,Q157948
tonline,,Q90880889
ef_magazin,,Q128874
contra_magazin,Contra Magazin,
tichyseinblick,,Q27902651
sputniknews,,Q18572033
cicero,,Q781987
compact_online,,Q15803741
achgut,,Q1210908
stern,,Q158322
freitag,,Q265362
pi_news,,Q2101411
tagesschau,,Q703907
focus,,Q700473
spiegel,,Q131478
ntv,,Q265027
