id,author_organization,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
85,[START] AFP [END],3.0,ORG,0.999858856201172,0.0,AFP,Agence France-Presse,pl,-0.4663615822792053,Q40464
87,[START] AFP [END],3.0,ORG,0.999858856201172,0.0,AFP,Agence France-Presse,pl,-0.466361403465271,Q40464
95,[START] FAZ.NET [END],3.0,ORG,0.9939318299293518,0.0,FAZ,Frankfurter Allgemeine Zeitung,en,-0.3029440343379974,Q10184
95,[START] FAZ.NET [END],7.0,ORG,0.978076159954071,4.0,NET,Frankfurter Allgemeine Zeitung,en,-0.3029439747333526,Q10184
98,[START] F.A.Z. [END],6.0,ORG,0.9877486228942872,0.0,F.A.Z.,F.A.Z.,en,-0.3499111235141754,Q10184
99,[START] AFP [END],3.0,ORG,0.999858856201172,0.0,AFP,Agence France-Presse,pl,-0.4666757583618164,Q40464
100,[START] Reuters [END],7.0,ORG,0.9986574649810792,0.0,Reuters,Reuters,en,-0.3503015637397766,Q130879
100,[START] AFP [END],3.0,ORG,0.999858856201172,0.0,AFP,Agence France-Presse,pl,-0.4665502309799194,Q40464
106,[START] AFP [END],3.0,ORG,0.999858856201172,0.0,AFP,Agence France-Presse,pl,-0.4665502309799194,Q40464
111,[START] F.A.Z. [END],6.0,ORG,0.9877486228942872,0.0,F.A.Z.,F.A.Z.,en,-0.3499112725257873,Q10184
119,[START] FAZ.NET [END],3.0,ORG,0.9939318299293518,0.0,FAZ,Frankfurter Allgemeine Zeitung,en,-0.302819550037384,Q10184
119,[START] FAZ.NET [END],7.0,ORG,0.978076159954071,4.0,NET,Frankfurter Allgemeine Zeitung,en,-0.3028194606304168,Q10184
125,[START] FAZ.NET [END],3.0,ORG,0.9939318299293518,0.0,FAZ,Frankfurter Allgemeine Zeitung,en,-0.3028193414211273,Q10184
125,[START] FAZ.NET [END],7.0,ORG,0.978076159954071,4.0,NET,Frankfurter Allgemeine Zeitung,en,-0.3028194308280945,Q10184
127,[START] F.A.Z. [END],6.0,ORG,0.9877486228942872,0.0,F.A.Z.,F.A.Z.,en,-0.3499112725257873,Q10184
128,[START] F.A.Z. [END],6.0,ORG,0.9877486228942872,0.0,F.A.Z.,F.A.Z.,en,-0.3499111235141754,Q10184
130,[START] AFP [END],3.0,ORG,0.999858856201172,0.0,AFP,Agence France-Presse,pl,-0.466361403465271,Q40464
152,[START] AFP [END],3.0,ORG,0.999858856201172,0.0,AFP,Agence France-Presse,pl,-0.4663615822792053,Q40464
163,[START] AFP [END],3.0,ORG,0.999858856201172,0.0,AFP,Agence France-Presse,pl,-0.4666754007339477,Q40464
164,[START] FAZ.NET mit dpa [END],7.0,ORG,0.9810267686843872,0.0,FAZ.NET,Frankfurter Allgemeine Zeitung,de,-0.0801471024751663,Q10184
164,[START] FAZ.NET mit dpa [END],15.0,ORG,0.9999465346336364,12.0,dpa,Frankfurter Allgemeine Zeitung,de,-0.0801466703414917,Q10184
166,[START] F.A.Z. [END],6.0,ORG,0.9877486228942872,0.0,F.A.Z.,F.A.Z.,en,-0.3499113619327545,Q10184
167,[START] Reuters [END],7.0,ORG,0.9986574649810792,0.0,Reuters,Reuters,en,-0.3503013849258423,Q130879
168,[START] FAZ.NET [END],3.0,ORG,0.9939318299293518,0.0,FAZ,Frankfurter Allgemeine Zeitung,en,-0.3028194308280945,Q10184
168,[START] FAZ.NET [END],7.0,ORG,0.978076159954071,4.0,NET,Frankfurter Allgemeine Zeitung,en,-0.302819550037384,Q10184
