id,author_person,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
20,[START] Kai Ehlers [END],10.0,PER,0.9984585642814636,0.0,Kai Ehlers,Kai Ehlers,de,-0.2526247501373291,Q1721290
27,[START] Christian Jakob [END],15.0,PER,0.9999787211418152,0.0,Christian Jakob,Christian Jakob,de,-0.3292260766029358,Q32358106
30,[START] Christian Jakob [END],15.0,PER,0.9999787211418152,0.0,Christian Jakob,Christian Jakob,de,-0.3292260766029358,Q32358106
33,[START] Kai Ehlers [END],10.0,PER,0.9984585642814636,0.0,Kai Ehlers,Kai Ehlers,de,-0.2526248395442962,Q1721290
40,[START] Thierry Meyssan [END],15.0,PER,0.9994939565658568,0.0,Thierry Meyssan,Thierry Meyssan,fr,-0.2534960210323334,Q732928
52,[START] Christian Jakob [END],15.0,PER,0.9999787211418152,0.0,Christian Jakob,Christian Jakob,de,-0.3292262554168701,Q32358106
83,[START] Hans-Christian Rößler [END],21.0,PER,0.9999816417694092,0.0,Hans-Christian Rößler,هانس کریستیان اندرسن,fa,-2.0609548091888428,Q5673
84,[START] Frank Pergande [END],14.0,PER,0.99994295835495,0.0,Frank Pergande,Frank Pergande,de,-0.3920095860958099,Q1443953
88,[START] Reiner Burger [END],13.0,PER,0.9999666213989258,0.0,Reiner Burger,Reiner Burger,de,-0.2247251868247985,Q19299033
89,[START] Klaus-Dieter Frankenberger [END],26.0,PER,0.999975323677063,0.0,Klaus-Dieter Frankenberger,Klaus-Dieter Frankenberger,de,-0.1204753294587135,Q15823703
90,[START] Helene Bubrowski [END],16.0,PER,0.9998056292533876,0.0,Helene Bubrowski,هيلين بودرو,ar,-2.3056862354278564,Q5964241
92,[START] Rainer Hermann [END],14.0,PER,0.999988853931427,0.0,Rainer Hermann,Rainer Hermann,de,-0.2368113249540329,Q24082534
96,[START] Julia Encke [END],11.0,PER,0.9995515942573548,0.0,Julia Encke,Julia Encke,de,-0.3241582214832306,Q18021507
97,[START] Michaela Wiegel [END],15.0,PER,0.999890148639679,0.0,Michaela Wiegel,Michaela Wiegel,de,-0.2025339752435684,Q18816451
105,[START] Eckart Lohse [END],12.0,PER,0.9999849796295166,0.0,Eckart Lohse,Eckart Lohse,de,-0.2327676266431808,Q17418064
107,[START] Christoph Hein [END],14.0,PER,0.9999917149543762,0.0,Christoph Hein,Christoph Hein,de,-0.312248945236206,Q77497
110,[START] Andreas Ross [END],12.0,PER,0.9999887943267822,0.0,Andreas Ross,アンドレアス・フォン・ザクセン=コーブルク・ウント・ゴータ,ja,-1.5089170932769775,Q73257
115,[START] Klaus-Dieter Frankenberger [END],26.0,PER,0.999975323677063,0.0,Klaus-Dieter Frankenberger,Klaus-Dieter Frankenberger,de,-0.1204753667116165,Q15823703
121,[START] Thomas Jansen [END],13.0,PER,0.9999735355377196,0.0,Thomas Jansen,Thomas Jansen,de,-0.4597427546977997,Q19060000
124,[START] Carsten Knop [END],12.0,PER,0.999989926815033,0.0,Carsten Knop,Carsten Knop,de,-0.1959742605686187,Q49298176
129,[START] Majid Sattar [END],12.0,PER,0.9999268651008606,0.0,Majid Sattar,Majid Sattar,de,-0.6774030923843384,Q23060878
131,[START] Carsten Knop [END],12.0,PER,0.999989926815033,0.0,Carsten Knop,Carsten Knop,de,-0.1959740072488784,Q49298176
133,[START] Matthias Rüb [END],12.0,PER,0.9999808669090272,0.0,Matthias Rüb,Matthias Rüb,de,-0.237132653594017,Q1910267
