id,news_keywords,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
0,[START] Ableismus [END],,,,,,Ableismus,de,-0.3308294415473938,Q1192251
0,[START] Adipositas [END],,,,,,Fettleibigkeit,de,-0.0798490494489669,Q12174
0,[START] Ageismus [END],,,,,,Ageismus,de,-0.1838128417730331,Q438946
0,[START] Antidiskriminierung [END],,,,,,Diskriminierung,de,-0.0780935436487197,Q169207
0,[START] Attraktivität [END],,,,,,Attraktivität,de,-0.0933335423469543,Q758234
0,[START] Aussehen [END],,,,,,Aussehen,de,-0.0855814144015312,Q780294
0,[START] Äußerlichkeiten [END],,,,,,Liste der Bauwerke der norddeutschen und rheinischen Backsteingotik in Deutschland,de,-0.4137625992298126,Q51893553
0,[START] Ausgrenzung [END],,,,,,Exklusion,de,-0.1332807689905166,Q56296593
0,[START] Bekleidungsvorschriften [END],,,,,,Kleidung,de,-0.2452833652496338,Q11460
0,[START] Birgit Sauer [END],12.0,PER,0.9994425773620604,0.0,Birgit Sauer,Birgit Sauer,de,-0.1649922579526901,Q865326
0,[START] Care-Arbeit [END],,,,,,Care-Arbeit,de,-0.0837359055876731,Q5038877
0,[START] Deutungshoheit [END],,,,,,Deutungshoheit,de,-0.0954360216856002,Q1206542
0,[START] Diskriminierung [END],,,,,,Diskriminierung,de,-0.0767564103007316,Q169207
0,[START] Diskriminierungsschutz [END],,,,,,Diskriminierungsverbot,de,-0.3535317480564117,Q1228909
0,[START] Disziplinierung [END],,,,,,Disziplinierung,de,-0.0769093632698059,Q56297907
0,[START] Fettleibigkeit [END],,,,,,Fettleibigkeit,de,-0.0753294005990028,Q12174
0,[START] Frauen [END],,,,,,Olympische Sommerspiele 2008/Leichtathletik,de,-0.2582453191280365,Q189941
0,[START] Frauendiskriminierung [END],,,,,,Diskriminierung,de,-0.332731157541275,Q169207
0,[START] Frauenrechte [END],,,,,,Frauenrechte,de,-0.0807864889502525,Q223569
0,[START] Fremdwahrnehmung [END],,,,,,Fremdwahrnehmung,de,-0.1596202403306961,Q2267842
0,[START] Gender Pay Gap [END],,,,,,Gender pay gap,en,-0.2200781553983688,Q5531013
0,[START] Gender Wage Gap [END],,,,,,Gender pay gap,en,-0.1371702253818512,Q5531013
0,[START] Geschlechtsdiskriminierung [END],,,,,,Diskriminierung,de,-0.3672769069671631,Q169207
0,[START] Geschlechterrollen [END],,,,,,Geschlechterrolle,de,-0.1045777946710586,Q2672163
0,[START] Geschlechterstereotype [END],,,,,,Geschlechterrolle,de,-0.1007577180862426,Q2672163
0,[START] Geschlechterverhältnisse [END],,,,,,Geschlechterverteilung,de,-0.171288788318634,Q1068155
0,[START] Geschlechtsidentität [END],,,,,,Geschlechtsidentität,de,-0.0735547393560409,Q48264
0,[START] geschlechtsspezifisches Lohngefälle [END],,,,,,Geschlechtsspezifisches Lohngefälle,de,-0.072687342762947,Q5531013
0,[START] gesellschaftliche Akzeptanz [END],,,,,,Akzeptanz,de,-0.2999811768531799,Q424543
0,[START] Gewichtsdiskriminierung [END],,,,,,Diskriminierung,de,-0.2553132474422455,Q169207
0,[START] Gleichbehandlung [END],,,,,,Gleichbehandlung,de,-0.1811140328645706,Q1530331
0,[START] Gleichstellung [END],,,,,,Gleichstellung,de,-0.1451006829738617,Q1530331
0,[START] Gruppendruck [END],,,,,,Gruppendruck,de,-0.1708664298057556,Q784843
0,[START] Gruppenzugehörigkeit [END],,,,,,Gruppe (Mathematik),de,-0.3711915016174316,Q83478
0,[START] Gruppenzwang [END],,,,,,Gruppenzwang,de,-0.1086354553699493,Q784843
0,[START] Herabwürdigung [END],,,,,,Bauwürdigkeit (Bergbau),de,-0.4672776162624359,Q811966
0,[START] Idealisierung [END],,,,,,Idealisierung (Psychologie),de,-0.205082967877388,Q1656690
0,[START] Konditionierung [END],,,,,,Konditionierung,de,-0.0960667803883552,Q1781244
0,[START] Konsumismus [END],,,,,,Konsumismus,de,-0.1066675782203674,Q89640
0,[START] Körperarbeit [END],,,,,,Körperarbeit,de,-0.2531296610832214,Q4937028
0,[START] Körperbilder [END],,,,,,Körperbild,de,-0.20249804854393,Q4936909
0,[START] körperlicher Merkmale [END],,,,,,Körperliche Aktivität,de,-0.3362257182598114,Q747883
0,[START] Körperpflege [END],,,,,,Körperpflege,de,-0.079336017370224,Q61090213
0,[START] Körperlichkeit [END],,,,,,Körperlichkeit,de,-0.2125100344419479,Q170494
0,[START] kulturelle Norm [END],,,,,,Kulturelle Norm,de,-0.2753661572933197,Q205665
0,[START] Leistungsgesellschaft [END],,,,,,Leistungsgesellschaft,de,-0.0799341946840286,Q1815949
0,[START] Lookism [END],,,,,,Lookism,en,-0.1064629107713699,Q1463434
0,[START] Lookismus [END],,,,,,Lookismus,de,-0.2198309898376464,Q1463434
0,[START] Marktmacht [END],,,,,,Marktmacht,de,-0.1631428450345993,Q1274157
0,[START] Neoliberalismus [END],,,,,,Neoliberalismus,de,-0.1094953492283821,Q162719
0,[START] Österreich [END],10.0,LOC,0.997744917869568,0.0,Österreich,Österreich,de,-0.1630032062530517,Q40
0,[START] Physiognomik [END],,,,,,Physiognomik,de,-0.0809274762868881,Q20820237
0,[START] Rollenverteilung [END],,,,,,Rollenverteilung,de,-0.1873440593481063,Q214339
0,[START] Schönheit [END],,,,,,Schönheit,de,-0.1464637070894241,Q7242
0,[START] Selbstwertgefühl [END],,,,,,Selbstwert,de,-0.0826263353228569,Q10981881
0,[START] Sexismus [END],,,,,,Sexismus,de,-0.2878443002700805,Q93200
0,[START] Schubladendenken [END],,,,,,Schubladendenken,de,-0.3077514767646789,Q179742
0,[START] Sorgearbeit [END],,,,,,Sorgearbeit,de,-0.3303609192371368,Q5038877
0,[START] sozioökonomische Relevanz [END],,,,,,Sozioökonomie,de,-0.497784286737442,Q1643441
0,[START] Stereotypisierung [END],,,,,,Stereotyp,de,-0.1633452624082565,Q167172
0,[START] Stigmatisierung [END],,,,,,Stigmatisierung,de,-0.081770159304142,Q1137326
0,[START] strukturelle Diskriminierung [END],,,,,,Strukturelle Diskriminierung,de,-0.0933267846703529,Q10682044
0,[START] Übergewichtige [END],,,,,,Übergewicht,de,-0.1214501038193702,Q332428
0,[START] UN-Frauenrechtskonvention [END],25.0,MISC,0.9994381666183472,0.0,UN-Frauenrechtskonvention,UN-Konvention zur Beseitigung jeder Form von Diskriminierung der Frau,de,-0.2368551045656204,Q277072
0,[START] Unterdrückung [END],,,,,,Unterdrückung,de,-0.0952677354216575,Q252000
0,[START] Verachtung [END],,,,,,Verachtung,de,-0.127256378531456,Q5338825
1,[START] Arbeitsintensität [END],,,,,,Arbeitsintensität,de,-0.0694362744688987,Q2992784
1,[START] Austeritätspolitik [END],,,,,,Austerität,de,-0.1065208911895752,Q2814650
1,[START] Bündnis 90/Die Grünen [END],21.0,ORG,0.9994268417358398,0.0,Bündnis 90/Die Grünen,Bündnis 90/Die Grünen,de,-0.1425035893917083,Q49766
1,[START] Bündnisgrüne [END],12.0,ORG,0.9412700533866882,0.0,Bündnisgrüne,Bündnis 90/Die Grünen Bayern,de,-0.2812071442604065,Q1020837
1,[START] Carsten Szczepanski [END],19.0,PER,0.9999914169311525,0.0,Carsten Szczepanski,Carsten Szczepanski,de,-0.2248838096857071,Q23921522
1,[START] Deutsche Burschenschaft [END],23.0,ORG,0.9999678134918212,0.0,Deutsche Burschenschaft,Deutsche Burschenschaft,de,-0.1202735379338264,Q1202256
1,[START] DGB-Index Gute Arbeit [END],9.0,MISC,0.9056988954544068,0.0,DGB-Index,DGB-Index Gute Arbeit,de,-0.0732821598649025,Q1153393
1,[START] Etikettenschwindel [END],,,,,,Etikettenschwindel,de,-0.1114726290106773,Q1371586
