id,title,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
1,Kenia-Koalition in  [START] Sachsen [END] : Rechte Agenda hinter sozialen und grünen Phrasen,26.0,LOC,0.9923856258392334,19.0,Sachsen,Sachsen,de,-0.0951330214738845,Q1202
7,Das neoliberale Aktivierungs- und Arbeitszwangregime der  [START] EU-Kommission [END] ,70.0,ORG,0.9995308518409728,57.0,EU-Kommission,Europäische Kommission,de,-0.086060881614685,Q8880
8,Warum mir das Wort „ [START] Europa [END] “ schon bei den Ohren herauskommt,26.0,LOC,0.99978905916214,20.0,Europa,Europa,de,-0.1172213554382324,Q46
9, [START] Erdoğan [END] s Flüchtlingswaffe: Wie der Wertewesten Flüchtlinge produziert,7.0,PER,0.9990243911743164,0.0,Erdoğan,Recep Tayyip Erdoğan,de,-0.1035139262676239,Q39259
14,Abgewirtschaftet: Eine zunehmend unbeliebte  [START] NATO [END]  wird 70,48.0,ORG,0.9999110698699952,44.0,NATO,NATO,de,-0.0955494195222854,Q7184
15, [START] AfD- [END] Parteitag stärkt völkischen „Flügel“,4.0,MISC,0.9984331727027892,0.0,AfD-,Alternative für Deutschland,de,-0.0895720049738884,Q6721203
20, [START] Syrien [END]  – Strudel der Stabilität,6.0,LOC,0.9996333122253418,0.0,Syrien,Syrien,de,-0.1068928986787796,Q858
21,Zum Zustand der  [START] ARD [END] . Das Framing Manual.,19.0,ORG,0.9983738660812378,16.0,ARD,ARD,de,-0.1695155799388885,Q49653
22, [START] Chemnitz [END] : Ein politisch motiviertes Urteil,8.0,LOC,0.999958038330078,0.0,Chemnitz,Chemnitz,de,-0.1028990745544433,Q2795
23,Die  [START] Chines [END] ische Bedrohung: Geht es bei den Protesten in Hongkong nur um politische Themen?,10.0,MISC,0.9998789429664612,4.0,Chines,Volksrepublik China,de,-0.1815595179796219,Q148
23,Die Chinesische Bedrohung: Geht es bei den Protesten in  [START] Hongkong [END]  nur um politische Themen?,64.0,LOC,0.99986469745636,56.0,Hongkong,Hongkong,de,-0.0903388559818267,Q8646
24,Freitodbegleitungen in der  [START] Schweiz [END]  1999-2018,34.0,LOC,0.9992098808288574,27.0,Schweiz,Schweiz,de,-0.0986730977892875,Q39
27, [START] Götz Kubitschek [END]  und das Institut für Staatspolitik,15.0,PER,0.9999815225601196,0.0,Götz Kubitschek,Götz Kubitschek,de,-0.079464703798294,Q1559892
27,Götz Kubitschek und das  [START] Institut für Staatspolitik [END] ,50.0,ORG,0.9999854564666748,24.0,Institut für Staatspolitik,Institut für Staatspolitik,de,-0.079521432518959,Q1239986
30,Funktionärs-Rochade: Die heimliche Unterwanderung der  [START] AfD [END]  durch Rechtsextreme,57.0,ORG,0.9999296069145204,54.0,AfD,Alternative für Deutschland,de,-0.0952577292919159,Q6721203
32,Pro oder Anti? Querschüsse zu den absolut unlustigen  [START] EU- [END] Debatten,56.0,MISC,0.9998880624771118,53.0,EU-,Europäische Union,de,-0.130208358168602,Q458
33, [START] Weißrussland [END] : Drama zwischen den Fronten,12.0,LOC,0.9997234344482422,0.0,Weißrussland,Weißrussland,de,-0.0986536964774131,Q184
