id,author_person,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
0,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
1,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
2,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
3,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
4,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
5,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
6,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
7,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
8,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
9,[START] Ulrich Gellermann [END],17.0,PER,0.9999723434448242,0.0,Ulrich Gellermann,ウルリッヒ・ベーリンク,ja,-2.1749441623687744,Q561263
11,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
12,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
13,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
14,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
15,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
16,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
19,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
20,[START] Kai Ehlers [END],10.0,PER,0.9984585642814636,0.0,Kai Ehlers,Kai Ehlers,de,-0.2526247501373291,Q1721290
21,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
22,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
23,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
24,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
25,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
26,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
27,[START] Christian Jakob [END],15.0,PER,0.9999787211418152,0.0,Christian Jakob,Christian Jakob,de,-0.3292260766029358,Q32358106
30,[START] Christian Jakob [END],15.0,PER,0.9999787211418152,0.0,Christian Jakob,Christian Jakob,de,-0.3292260766029358,Q32358106
31,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
32,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
33,[START] Kai Ehlers [END],10.0,PER,0.9984585642814636,0.0,Kai Ehlers,Kai Ehlers,de,-0.25262483954429626,Q1721290
34,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
38,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
39,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
40,[START] Thierry Meyssan [END],15.0,PER,0.9994939565658568,0.0,Thierry Meyssan,Thierry Meyssan,fr,-0.2534960210323334,Q732928
41,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
42,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
43,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
44,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
45,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
46,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
47,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
48,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
50,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
52,[START] Christian Jakob [END],15.0,PER,0.9999787211418152,0.0,Christian Jakob,Christian Jakob,de,-0.3292262554168701,Q32358106
54,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
56,[START] Pandora [END],7.0,MISC,0.939276933670044,0.0,Pandora,Pandora (mesiac),sk,-0.5514973402023315,Q17746
57,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
58,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
62,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
64,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
65,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
67,[START] Ulrich Gellermann [END],17.0,PER,0.9999723434448242,0.0,Ulrich Gellermann,ウルリッヒ・ベーリンク,ja,-2.1749441623687744,Q561263
68,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
69,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
71,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
76,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
77,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377628326416016,Q1604170
79,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625942230225,Q1604170
80,[START] Ulrich Gellermann [END],17.0,PER,0.9999723434448242,0.0,Ulrich Gellermann,ウルリッヒ・ベーリンク,ja,-2.1749444007873535,Q561263
81,[START] Helmut S. [END],8.0,PER,0.9999876618385316,0.0,Helmut S,Helmut Schröder,de,-0.8377625346183777,Q1604170
82,[START] Stefan Locke [END],12.0,PER,0.9999785423278807,0.0,Stefan Locke,ستيفن لويس (منافس ألعاب قوى),ar,-1.5712926387786865,Q774293
83,[START] Hans-Christian Rößler [END],21.0,PER,0.9999816417694092,0.0,Hans-Christian Rößler,هانس کریستیان اندرسن,fa,-2.0609548091888428,Q5673
84,[START] Frank Pergande [END],14.0,PER,0.99994295835495,0.0,Frank Pergande,Frank Pergande,de,-0.39200958609580994,Q1443953
88,[START] Reiner Burger [END],13.0,PER,0.9999666213989258,0.0,Reiner Burger,Reiner Burger,de,-0.22472518682479858,Q19299033
89,[START] Klaus-Dieter Frankenberger [END],26.0,PER,0.999975323677063,0.0,Klaus-Dieter Frankenberger,Klaus-Dieter Frankenberger,de,-0.12047532945871353,Q15823703
90,[START] Helene Bubrowski [END],16.0,PER,0.9998056292533876,0.0,Helene Bubrowski,هيلين بودرو,ar,-2.3056862354278564,Q5964241
92,[START] Rainer Hermann [END],14.0,PER,0.999988853931427,0.0,Rainer Hermann,Rainer Hermann,de,-0.2368113249540329,Q24082534
96,[START] Julia Encke [END],11.0,PER,0.9995515942573548,0.0,Julia Encke,Julia Encke,de,-0.3241582214832306,Q18021507
97,[START] Michaela Wiegel [END],15.0,PER,0.999890148639679,0.0,Michaela Wiegel,Michaela Wiegel,de,-0.20253397524356842,Q18816451
102,[START] Alexander Haneke [END],16.0,PER,0.9999699592590332,0.0,Alexander Haneke,アレクサンダー・ハッケ,ja,-1.4603869915008545,Q63439
103,[START] Sebastian Reuter [END],16.0,PER,0.9999821186065674,0.0,Sebastian Reuter,塞巴斯蒂安·羅德,zh,-1.2260422706604004,Q642850
104,[START] Livia Gerster [END],13.0,PER,0.999643862247467,0.0,Livia Gerster,リヴィア,ja,-2.5585784912109375,Q1823047
104,[START] Friedrich Schmidt [END],17.0,PER,0.9999865293502808,0.0,Friedrich Schmidt,Friedrich Schmidt,de,-0.4111993908882141,Q1461979
105,[START] Eckart Lohse [END],12.0,PER,0.9999849796295166,0.0,Eckart Lohse,Eckart Lohse,de,-0.23276762664318085,Q17418064
107,[START] Christoph Hein [END],14.0,PER,0.9999917149543762,0.0,Christoph Hein,Christoph Hein,de,-0.31224894523620605,Q77497
108,[START] Jan Schiefenhövel [END],17.0,PER,0.9999553561210632,0.0,Jan Schiefenhövel,ヤン・ヒョンソク,ja,-2.161701202392578,Q490938
110,[START] Andreas Ross [END],12.0,PER,0.9999887943267822,0.0,Andreas Ross,アンドレアス・フォン・ザクセン=コーブルク・ウント・ゴータ,ja,-1.5089170932769775,Q73257
114,[START] Anna Prizkau [END],12.0,PER,0.9999021887779236,0.0,Anna Prizkau,アンナ・リトビネンコ,ja,-2.81691575050354,Q27917621
115,[START] Klaus-Dieter Frankenberger [END],26.0,PER,0.999975323677063,0.0,Klaus-Dieter Frankenberger,Klaus-Dieter Frankenberger,de,-0.12047536671161652,Q15823703
117,[START] Anna Prizkau [END],12.0,PER,0.9999021887779236,0.0,Anna Prizkau,アンナ・リトビネンコ,ja,-2.816915988922119,Q27917621
120,[START] Christian Schubert [END],18.0,PER,0.9999897480010986,0.0,Christian Schubert,Christian Schubert,de,-0.2766757905483246,Q23668510
121,[START] Thomas Jansen [END],13.0,PER,0.9999735355377196,0.0,Thomas Jansen,Thomas Jansen,de,-0.4597427546977997,Q19060000
122,[START] Marlene Grunert [END],15.0,PER,0.9998174905776978,0.0,Marlene Grunert,マルレーネ・ディートリヒ,ja,-2.1576616764068604,Q4612
123,[START] Marlene Grunert [END],15.0,PER,0.9998174905776978,0.0,Marlene Grunert,マルレーネ・ディートリヒ,ja,-2.1576616764068604,Q4612
124,[START] Carsten Knop [END],12.0,PER,0.999989926815033,0.0,Carsten Knop,Carsten Knop,de,-0.19597426056861877,Q49298176
129,[START] Majid Sattar [END],12.0,PER,0.9999268651008606,0.0,Majid Sattar,Majid Sattar,de,-0.6774030923843384,Q23060878
131,[START] Carsten Knop [END],12.0,PER,0.999989926815033,0.0,Carsten Knop,Carsten Knop,de,-0.19597400724887848,Q49298176
132,[START] Patrick Welter [END],14.0,PER,0.9999628663063048,0.0,Patrick Welter,パトリック・ウィリアムズ,ja,-2.0073204040527344,Q538062
133,[START] Matthias Rüb [END],12.0,PER,0.9999808669090272,0.0,Matthias Rüb,Matthias Rüb,de,-0.23713265359401703,Q1910267
134,[START] Jasper von Altenbockum [END],22.0,PER,0.9996549487113952,0.0,Jasper von Altenbockum,Jasper von Altenbockum,de,-0.17430062592029572,Q1684043
135,[START] Karen Krüger [END],12.0,PER,0.9997687339782716,0.0,Karen Krüger,كارين كروغ,ar,-2.073883295059204,Q469800
