id,topic_label,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
0,[START] frauen [END],,,,,,Fräulein,de,-0.9800936579704285,Q1471353
0,[START] arbeiter [END],,,,,,Arbeiter,de,-0.42604392766952515,Q12713481
0,[START] innen [END],,,,,,Język iberyjski,pl,-1.0009729862213135,Q855215
0,[START] innenklasse [END],,,,,,Infanteri,no,-1.3062628507614136,Q29171
1,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
1,[START] menschen [END],,,,,,Menschen,de,-0.7436152696609497,Q1920733
1,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.4370739161968231,Q183
1,[START] wurde [END],,,,,,Język perski,pl,-0.9305666089057922,Q9168
2,[START] ard [END],,,,,,Ard,pl,-0.9765893220901489,Q49653
2,[START] medien [END],,,,,,Massenmedien,de,-0.5652326941490173,Q11033
2,[START] schon [END],,,,,,Schonen,nl,-0.9340712428092957,Q180756
2,[START] journalisten [END],,,,,,Journalist,nl,-0.15374629199504852,Q1930187
3,[START] mehr [END],,,,,,Mehr,de,-0.5251758098602295,Q181785
3,[START] menschen [END],,,,,,Menschen,de,-0.7436152100563049,Q1920733
3,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707454204559326,Q183
3,[START] wurde [END],,,,,,Język perski,pl,-0.9305667877197266,Q9168
4,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
4,[START] menschen [END],,,,,,Menschen,de,-0.743614912033081,Q1920733
4,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.4370739758014679,Q183
4,[START] wurde [END],,,,,,Język perski,pl,-0.9305667877197266,Q9168
5,[START] prozent [END],,,,,,Porcelain,en,-0.7943506836891174,Q130693
5,[START] 000 [END],,,,,,1000,gl,-0.6908712387084961,Q18452
5,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707409501075745,Q183
5,[START] mehr [END],,,,,,Mehr,de,-0.5251762270927429,Q181785
6,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
6,[START] menschen [END],,,,,,Menschen,de,-0.7436152696609497,Q1920733
6,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.4370739161968231,Q183
6,[START] wurde [END],,,,,,Język perski,pl,-0.9305666089057922,Q9168
7,[START] prozent [END],,,,,,Porcelain,en,-0.7943509221076965,Q130693
7,[START] 000 [END],,,,,,1000,gl,-0.6908716559410095,Q18452
7,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707454204559326,Q183
7,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
8,[START] eu [END],,,,,,.eu,ja,-1.2120282649993896,Q41107
8,[START] brexit [END],6.0,MISC,0.976020336151123,0.0,brexit,Brexit,sl,-0.3532644510269165,Q7888194
8,[START] europäischen [END],12.0,MISC,0.677300214767456,0.0,europäischen,Europa,es,-0.40096524357795715,Q46
8,[START] europa [END],6.0,LOC,0.999525547027588,0.0,europa,Europa (mytologi),sv,-0.5889378786087036,Q165170
9,[START] türkei [END],4.0,LOC,0.9529076218605042,0.0,türk,Język turecki,pl,-0.6901504397392273,Q256
9,[START] eu [END],,,,,,.eu,ja,-1.2120282649993896,Q41107
9,[START] erdogan [END],2.0,LOC,0.4170191884040832,0.0,er,Erdogán,es,-0.6795968413352966,Q39259
9,[START] erdogan [END],4.0,MISC,0.299383282661438,2.0,do,Erdogán,es,-0.6795966625213623,Q39259
9,[START] erdogan [END],7.0,PER,0.4323715269565582,4.0,gan,Erdogán,es,-0.6795966625213623,Q39259
9,[START] türkische [END],4.0,MISC,0.9963722229003906,0.0,türk,Türkische Sprache,de,-0.13313345611095428,Q256
11,[START] prozent [END],,,,,,Porcelain,en,-0.7943506836891174,Q130693
11,[START] 000 [END],,,,,,1000,gl,-0.69087153673172,Q18452
11,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707454204559326,Q183
11,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
12,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
12,[START] menschen [END],,,,,,Menschen,de,-0.743614912033081,Q1920733
12,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.4370739758014679,Q183
12,[START] wurde [END],,,,,,Język perski,pl,-0.9305667877197266,Q9168
13,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
13,[START] menschen [END],,,,,,Menschen,de,-0.7436150312423706,Q1920733
13,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707409501075745,Q183
13,[START] wurde [END],,,,,,Język perski,pl,-0.930566668510437,Q9168
14,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
14,[START] menschen [END],,,,,,Menschen,de,-0.7436152696609497,Q1920733
14,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.4370739161968231,Q183
14,[START] wurde [END],,,,,,Język perski,pl,-0.9305666089057922,Q9168
15,[START] mehr [END],,,,,,Mehr,de,-0.5251762270927429,Q181785
15,[START] menschen [END],,,,,,Menschen,de,-0.7436152696609497,Q1920733
15,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707454204559326,Q183
15,[START] wurde [END],,,,,,Język perski,pl,-0.930566668510437,Q9168
16,[START] prozent [END],,,,,,Porcelain,en,-0.7943506836891174,Q130693
16,[START] 000 [END],,,,,,1000,gl,-0.69087153673172,Q18452
16,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707454204559326,Q183
16,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
19,[START] prozent [END],,,,,,Porcelain,en,-0.7943509221076965,Q130693
19,[START] 000 [END],,,,,,1000,gl,-0.6908717155456543,Q18452
19,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.4370739758014679,Q183
19,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
20,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
20,[START] menschen [END],,,,,,Menschen,de,-0.7436150312423706,Q1920733
20,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707409501075745,Q183
20,[START] wurde [END],,,,,,Język perski,pl,-0.930566668510437,Q9168
21,[START] ard [END],,,,,,Ard,pl,-0.9765892028808594,Q49653
21,[START] medien [END],,,,,,Massenmedien,de,-0.5652326941490173,Q11033
21,[START] schon [END],,,,,,Schonen,nl,-0.9340713620185852,Q180756
21,[START] journalisten [END],,,,,,Journalist,nl,-0.1537463217973709,Q1930187
22,[START] täter [END],,,,,,Täter (Strafrecht),de,-0.6492848992347717,Q897438
22,[START] wurde [END],,,,,,Język perski,pl,-0.9305667877197266,Q9168
22,[START] polizei [END],,,,,,Polizei (Vereinigte Staaten),de,-0.38035881519317627,Q1365622
22,[START] mann [END],,,,,,Mann,et,-0.28676432371139526,Q850029
23,[START] mehr [END],,,,,,Mehr,de,-0.5251758098602295,Q181785
23,[START] menschen [END],,,,,,Menschen,de,-0.7436152100563049,Q1920733
23,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707454204559326,Q183
23,[START] wurde [END],,,,,,Język perski,pl,-0.9305667877197266,Q9168
24,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
24,[START] menschen [END],,,,,,Menschen,de,-0.743614912033081,Q1920733
24,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.4370739758014679,Q183
24,[START] wurde [END],,,,,,Język perski,pl,-0.9305667877197266,Q9168
25,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
25,[START] menschen [END],,,,,,Menschen,de,-0.7436150312423706,Q1920733
25,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707409501075745,Q183
25,[START] wurde [END],,,,,,Język perski,pl,-0.930566668510437,Q9168
26,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
26,[START] menschen [END],,,,,,Menschen,de,-0.7436152696609497,Q1920733
26,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.4370739161968231,Q183
26,[START] wurde [END],,,,,,Język perski,pl,-0.9305666089057922,Q9168
27,[START] mehr [END],,,,,,Mehr,de,-0.5251762270927429,Q181785
27,[START] menschen [END],,,,,,Menschen,de,-0.7436152696609497,Q1920733
27,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707454204559326,Q183
27,[START] wurde [END],,,,,,Język perski,pl,-0.930566668510437,Q9168
30,[START] mehr [END],,,,,,Mehr,de,-0.5251758098602295,Q181785
30,[START] menschen [END],,,,,,Menschen,de,-0.7436152100563049,Q1920733
30,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707454204559326,Q183
30,[START] wurde [END],,,,,,Język perski,pl,-0.9305667877197266,Q9168
31,[START] prozent [END],,,,,,Porcelain,en,-0.7943509221076965,Q130693
31,[START] 000 [END],,,,,,1000,gl,-0.6908717155456543,Q18452
31,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.4370739758014679,Q183
31,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
32,[START] mehr [END],,,,,,Mehr,de,-0.5251758694648743,Q181785
32,[START] menschen [END],,,,,,Menschen,de,-0.7436150312423706,Q1920733
32,[START] deutschland [END],11.0,LOC,0.9299898147583008,0.0,deutschland,Deutschland,de,-0.43707409501075745,Q183
32,[START] wurde [END],,,,,,Język perski,pl,-0.930566668510437,Q9168
33,[START] russland [END],8.0,LOC,0.9994206428527832,0.0,russland,Russlands herrelandslag i ishockey,no,-0.29299771785736084,Q845895
33,[START] putin [END],,,,,,Lijst van kaiju in films van Toho,nl,-0.589095950126648,Q16231602
33,[START] ukraine [END],7.0,LOC,0.9658682942390442,0.0,ukraine,Ukraina lingvo,eo,-0.2749492824077606,Q8798
