id,author_person,end,entity_group,score,start,word
0,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
1,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
2,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
3,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
4,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
5,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
6,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
7,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
8,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
9,Ulrich Gellermann,17.0,PER,0.9999723434448242,0.0,Ulrich Gellermann
11,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
12,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
13,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
14,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
15,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
16,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
19,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
20,Kai Ehlers,10.0,PER,0.9984585642814636,0.0,Kai Ehlers
21,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
22,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
23,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
24,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
25,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
26,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
27,Christian Jakob,15.0,PER,0.9999787211418152,0.0,Christian Jakob
30,Christian Jakob,15.0,PER,0.9999787211418152,0.0,Christian Jakob
31,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
32,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
33,Kai Ehlers,10.0,PER,0.9984585642814636,0.0,Kai Ehlers
34,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
38,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
39,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
40,Thierry Meyssan,15.0,PER,0.9994939565658569,0.0,Thierry Meyssan
41,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
42,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
43,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
44,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
45,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
46,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
47,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
48,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
50,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
52,Christian Jakob,15.0,PER,0.9999787211418152,0.0,Christian Jakob
54,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
56,Pandora,7.0,MISC,0.939276933670044,0.0,Pandora
57,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
58,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
62,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
64,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
65,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
67,Ulrich Gellermann,17.0,PER,0.9999723434448242,0.0,Ulrich Gellermann
68,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
69,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
71,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
76,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
77,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
79,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
80,Ulrich Gellermann,17.0,PER,0.9999723434448242,0.0,Ulrich Gellermann
81,Helmut S.,8.0,PER,0.9999876618385315,0.0,Helmut S
82,Stefan Locke,12.0,PER,0.9999785423278809,0.0,Stefan Locke
83,Hans-Christian Rößler,21.0,PER,0.9999816417694092,0.0,Hans-Christian Rößler
84,Frank Pergande,14.0,PER,0.99994295835495,0.0,Frank Pergande
88,Reiner Burger,13.0,PER,0.9999666213989258,0.0,Reiner Burger
89,Klaus-Dieter Frankenberger,26.0,PER,0.999975323677063,0.0,Klaus-Dieter Frankenberger
90,Helene Bubrowski,16.0,PER,0.9998056292533875,0.0,Helene Bubrowski
92,Rainer Hermann,14.0,PER,0.999988853931427,0.0,Rainer Hermann
96,Julia Encke,11.0,PER,0.9995515942573547,0.0,Julia Encke
97,Michaela Wiegel,15.0,PER,0.999890148639679,0.0,Michaela Wiegel
102,Alexander Haneke,16.0,PER,0.9999699592590332,0.0,Alexander Haneke
103,Sebastian Reuter,16.0,PER,0.9999821186065674,0.0,Sebastian Reuter
104,Livia Gerster,13.0,PER,0.999643862247467,0.0,Livia Gerster
104,Friedrich Schmidt,17.0,PER,0.9999865293502808,0.0,Friedrich Schmidt
105,Eckart Lohse,12.0,PER,0.9999849796295166,0.0,Eckart Lohse
107,Christoph Hein,14.0,PER,0.9999917149543762,0.0,Christoph Hein
108,Jan Schiefenhövel,17.0,PER,0.9999553561210632,0.0,Jan Schiefenhövel
110,Andreas Ross,12.0,PER,0.9999887943267822,0.0,Andreas Ross
114,Anna Prizkau,12.0,PER,0.9999021887779236,0.0,Anna Prizkau
115,Klaus-Dieter Frankenberger,26.0,PER,0.999975323677063,0.0,Klaus-Dieter Frankenberger
117,Anna Prizkau,12.0,PER,0.9999021887779236,0.0,Anna Prizkau
120,Christian Schubert,18.0,PER,0.9999897480010986,0.0,Christian Schubert
121,Thomas Jansen,13.0,PER,0.9999735355377197,0.0,Thomas Jansen
122,Marlene Grunert,15.0,PER,0.9998174905776978,0.0,Marlene Grunert
123,Marlene Grunert,15.0,PER,0.9998174905776978,0.0,Marlene Grunert
124,Carsten Knop,12.0,PER,0.999989926815033,0.0,Carsten Knop
129,Majid Sattar,12.0,PER,0.9999268651008606,0.0,Majid Sattar
131,Carsten Knop,12.0,PER,0.999989926815033,0.0,Carsten Knop
132,Patrick Welter,14.0,PER,0.9999628663063049,0.0,Patrick Welter
133,Matthias Rüb,12.0,PER,0.9999808669090271,0.0,Matthias Rüb
134,Jasper von Altenbockum,22.0,PER,0.9996549487113953,0.0,Jasper von Altenbockum
135,Karen Krüger,12.0,PER,0.9997687339782715,0.0,Karen Krüger
137,Ursula Scheer,13.0,PER,0.9999569654464722,0.0,Ursula Scheer
138,Hans-Christian Rößler,21.0,PER,0.9999816417694092,0.0,Hans-Christian Rößler
139,Tjerk Brühwiller,16.0,PER,0.9987601041793823,0.0,Tjerk Brühwiller
139,Andreas Ross,12.0,PER,0.9999887943267822,0.0,Andreas Ross
142,Jürg Altwegg,12.0,PER,0.9999858736991882,0.0,Jürg Altwegg
143,Andreas Ross,12.0,PER,0.9999887943267822,0.0,Andreas Ross
144,Thomas Gutschker,16.0,PER,0.9999743700027466,0.0,Thomas Gutschker
150,Marie Lisa Kehler,17.0,PER,0.999903678894043,0.0,Marie Lisa Kehler
150,Tobias Rösmann,14.0,PER,0.9999719858169556,0.0,Tobias Rösmann
154,Winand von Petersdorff-Campen,29.0,PER,0.9970125555992126,0.0,Winand von Petersdorff-Campen
155,Timo Steppat,12.0,PER,0.9948605895042419,0.0,Timo Steppat
156,Anna Prizkau,12.0,PER,0.9999021887779236,0.0,Anna Prizkau
158,Christoph Ehrhardt,18.0,PER,0.9999582171440125,0.0,Christoph Ehrhardt
159,Klaus-Dieter Frankenberger,26.0,PER,0.999975323677063,0.0,Klaus-Dieter Frankenberger
160,Matthias Rüb,12.0,PER,0.9999808669090271,0.0,Matthias Rüb
161,Simon Strauß,12.0,PER,0.9999839663505554,0.0,Simon Strauß
162,Ewald Hetrodt,13.0,PER,0.9999803304672241,0.0,Ewald Hetrodt
165,Andreas Ross,12.0,PER,0.9999887943267822,0.0,Andreas Ross
170,Marie Lisa Kehler,17.0,PER,0.999903678894043,0.0,Marie Lisa Kehler
172,Matthias Rüb,12.0,PER,0.9999808669090271,0.0,Matthias Rüb
174,Jutta Sundermann,16.0,PER,0.999916672706604,0.0,Jutta Sundermann
175,Liudmila Kotlyarova,19.0,PER,0.9998912811279297,0.0,Liudmila Kotlyarova
176,Alexander Marjin,16.0,PER,0.999930202960968,0.0,Alexander Marjin
177,Lidia Sharapenko,16.0,PER,0.9993922114372253,0.0,Lidia Sharapenko
178,Anna Schadrina,14.0,PER,0.9994478821754456,0.0,Anna Schadrina
179,Pati Sagal,,,,,
180,SNA,3.0,ORG,0.9999074339866638,0.0,SNA
181,Ekaterina Nikolaeva,19.0,PER,0.9998405575752258,0.0,Ekaterina Nikolaeva
182,Amina Abduragimova,18.0,PER,0.995705783367157,0.0,Amina Abduragimova
183,Anna Schadrina,14.0,PER,0.9994478821754456,0.0,Anna Schadrina
184,Deutsche Presse-Agentur,23.0,ORG,0.9998882412910461,0.0,Deutsche Presse-Agentur
185,Anna Schadrina,14.0,PER,0.9994478821754456,0.0,Anna Schadrina
186,Jelena Neuhausen,16.0,PER,0.9996417760848999,0.0,Jelena Neuhausen
188,Paul Linke,10.0,PER,0.999955952167511,0.0,Paul Linke
189,Pati Sagal,,,,,
191,Anna Schadrina,14.0,PER,0.9994478821754456,0.0,Anna Schadrina
192,Andrej Iwanowski,16.0,PER,0.9999654293060303,0.0,Andrej Iwanowski
