news_outlet,political_orientation
kritisches_netzwerk,left
merkur,center
spiegel_start,center
anti_spiegel,right
klasse_gegen_klasse,left
rubikon,conspiracy
taz,center
rationalgalarie,left
nachdenkseiten,left
tagesspiegel,center
faz,center
deutsche_rt,right
bild,center
sueddeutsche_zeitung,center
man tau,
vice,left
jungle,left
opposition24,right
journalistenwatch,right
politplatschquatsch,right
blog_campact,left
neues_deutschland,left
jungewelt,left
welt,center
jungefreiheit,right
tonline,center
ef_magazin,right
contra_magazin,conspiracy
tichyseinblick,right
sputniknews,right
cicero,center
compact_online,right
achgut,right
stern,center
freitag,center
pi_news,right
tagesschau,center
focus,center
spiegel,center
ntv,center
