id,topic,topic_label
0,20,frauen_arbeiter_innen_innenklasse
1,-1,mehr_menschen_deutschland_wurde
2,19,ard_medien_schon_journalisten
3,-1,mehr_menschen_deutschland_wurde
4,-1,mehr_menschen_deutschland_wurde
5,3,prozent_000_deutschland_mehr
6,-1,mehr_menschen_deutschland_wurde
7,3,prozent_000_deutschland_mehr
8,2,eu_brexit_europäischen_europa
9,4,türkei_eu_erdogan_türkische
11,3,prozent_000_deutschland_mehr
12,-1,mehr_menschen_deutschland_wurde
13,-1,mehr_menschen_deutschland_wurde
14,-1,mehr_menschen_deutschland_wurde
15,-1,mehr_menschen_deutschland_wurde
16,3,prozent_000_deutschland_mehr
19,3,prozent_000_deutschland_mehr
20,-1,mehr_menschen_deutschland_wurde
21,19,ard_medien_schon_journalisten
22,9,täter_wurde_polizei_mann
23,-1,mehr_menschen_deutschland_wurde
24,-1,mehr_menschen_deutschland_wurde
25,-1,mehr_menschen_deutschland_wurde
26,-1,mehr_menschen_deutschland_wurde
27,-1,mehr_menschen_deutschland_wurde
30,-1,mehr_menschen_deutschland_wurde
31,3,prozent_000_deutschland_mehr
32,-1,mehr_menschen_deutschland_wurde
33,10,russland_putin_ukraine_russischen
34,-1,mehr_menschen_deutschland_wurde
38,12,deutschland_menschen_deutschen_mehr
39,19,ard_medien_schon_journalisten
40,2,eu_brexit_europäischen_europa
41,-1,mehr_menschen_deutschland_wurde
42,-1,mehr_menschen_deutschland_wurde
43,-1,mehr_menschen_deutschland_wurde
44,5,mexiko_trump_us_usa
45,-1,mehr_menschen_deutschland_wurde
46,-1,mehr_menschen_deutschland_wurde
47,-1,mehr_menschen_deutschland_wurde
48,4,türkei_eu_erdogan_türkische
50,-1,mehr_menschen_deutschland_wurde
52,-1,mehr_menschen_deutschland_wurde
54,-1,mehr_menschen_deutschland_wurde
56,-1,mehr_menschen_deutschland_wurde
57,-1,mehr_menschen_deutschland_wurde
58,-1,mehr_menschen_deutschland_wurde
62,-1,mehr_menschen_deutschland_wurde
64,-1,mehr_menschen_deutschland_wurde
65,3,prozent_000_deutschland_mehr
67,17,merkel_kanzlerin_angela_deutschland
68,11,trump_biden_demokraten_us
69,-1,mehr_menschen_deutschland_wurde
71,-1,mehr_menschen_deutschland_wurde
76,2,eu_brexit_europäischen_europa
77,19,ard_medien_schon_journalisten
79,-1,mehr_menschen_deutschland_wurde
80,-1,mehr_menschen_deutschland_wurde
81,-1,mehr_menschen_deutschland_wurde
82,-1,mehr_menschen_deutschland_wurde
83,-1,mehr_menschen_deutschland_wurde
84,-1,mehr_menschen_deutschland_wurde
85,13,polizei_polizisten_reul_innen
86,16,syrien_syrischen_idlib_al
87,-1,mehr_menschen_deutschland_wurde
88,-1,mehr_menschen_deutschland_wurde
89,11,trump_biden_demokraten_us
90,-1,mehr_menschen_deutschland_wurde
91,-1,mehr_menschen_deutschland_wurde
92,2,eu_brexit_europäischen_europa
93,14,eu_kommission_staaten_seehofer
94,-1,mehr_menschen_deutschland_wurde
95,-1,mehr_menschen_deutschland_wurde
96,-1,mehr_menschen_deutschland_wurde
97,2,eu_brexit_europäischen_europa
98,-1,mehr_menschen_deutschland_wurde
99,23,deutschland_anträge_000_prozent
100,4,türkei_eu_erdogan_türkische
101,1,libyen_sea_bord_schiff
102,-1,mehr_menschen_deutschland_wurde
103,17,merkel_kanzlerin_angela_deutschland
104,1,libyen_sea_bord_schiff
105,17,merkel_kanzlerin_angela_deutschland
106,24,salvini_italien_lega_matteo
107,6,corona_pandemie_menschen_covid
108,-1,mehr_menschen_deutschland_wurde
109,7,moria_lesbos_griechischen_lager
110,3,prozent_000_deutschland_mehr
111,-1,mehr_menschen_deutschland_wurde
113,1,libyen_sea_bord_schiff
114,9,täter_wurde_polizei_mann
115,-1,mehr_menschen_deutschland_wurde
116,5,mexiko_trump_us_usa
117,-1,mehr_menschen_deutschland_wurde
119,11,trump_biden_demokraten_us
120,24,salvini_italien_lega_matteo
121,1,libyen_sea_bord_schiff
122,-1,mehr_menschen_deutschland_wurde
123,-1,mehr_menschen_deutschland_wurde
124,-1,mehr_menschen_deutschland_wurde
125,1,libyen_sea_bord_schiff
126,4,türkei_eu_erdogan_türkische
127,-1,mehr_menschen_deutschland_wurde
128,8,deutschland_wurde_sagt_familie
129,17,merkel_kanzlerin_angela_deutschland
130,14,eu_kommission_staaten_seehofer
131,-1,mehr_menschen_deutschland_wurde
132,-1,mehr_menschen_deutschland_wurde
133,1,libyen_sea_bord_schiff
134,14,eu_kommission_staaten_seehofer
135,-1,mehr_menschen_deutschland_wurde
136,5,mexiko_trump_us_usa
137,-1,mehr_menschen_deutschland_wurde
138,1,libyen_sea_bord_schiff
139,-1,mehr_menschen_deutschland_wurde
140,-1,mehr_menschen_deutschland_wurde
141,18,türkei_griechenland_griechischen_migranten
142,-1,mehr_menschen_deutschland_wurde
143,2,eu_brexit_europäischen_europa
144,7,moria_lesbos_griechischen_lager
145,1,libyen_sea_bord_schiff
146,-1,mehr_menschen_deutschland_wurde
147,11,trump_biden_demokraten_us
148,18,türkei_griechenland_griechischen_migranten
149,23,deutschland_anträge_000_prozent
150,7,moria_lesbos_griechischen_lager
151,-1,mehr_menschen_deutschland_wurde
152,5,mexiko_trump_us_usa
153,-1,mehr_menschen_deutschland_wurde
154,11,trump_biden_demokraten_us
155,-1,mehr_menschen_deutschland_wurde
156,-1,mehr_menschen_deutschland_wurde
157,-1,mehr_menschen_deutschland_wurde
158,0,grenze_belarus_polen_eu
159,24,salvini_italien_lega_matteo
160,-1,mehr_menschen_deutschland_wurde
161,-1,mehr_menschen_deutschland_wurde
162,-1,mehr_menschen_deutschland_wurde
163,-1,mehr_menschen_deutschland_wurde
164,2,eu_brexit_europäischen_europa
165,2,eu_brexit_europäischen_europa
166,2,eu_brexit_europäischen_europa
167,-1,mehr_menschen_deutschland_wurde
168,11,trump_biden_demokraten_us
169,5,mexiko_trump_us_usa
170,23,deutschland_anträge_000_prozent
171,1,libyen_sea_bord_schiff
172,24,salvini_italien_lega_matteo
173,12,deutschland_menschen_deutschen_mehr
174,-1,mehr_menschen_deutschland_wurde
175,-1,mehr_menschen_deutschland_wurde
176,-1,mehr_menschen_deutschland_wurde
177,0,grenze_belarus_polen_eu
178,7,moria_lesbos_griechischen_lager
