news_outlet,entity,wikidata_id
breitbart_news,,Q4960434
blaze,,Q7711621
one_america_news_network,,Q17107494
newsmax,,Q27037115
cbn,,Q1079074
daily_caller,,Q7728625
daily_wire,,Q25094513
fox_news,,Q186068
federalist,,Q17086113
nypost,,Q211374
american_conservative,,Q159664
reason,,Q1454090
hannity,,Q5649201
ijr,,Q22909173
deseret_news,,Q1056889
washington_examiner,,Q255700
ap,,Q40469
axios,,Q28230873
newsweek,,Q188413
real_clear_politics,,Q7300807
hill,,Q7739683
abc_news,,Q287171
nbc_news,,Q2877626
politico,,Q3109740
insider,,Q85743454
pro_publica,,Q1817856
buzzfeednews,,Q55715275
cnn,,Q48340
democracy_now,,Q1185824
huffpost,,Q18049522
intercept,,Q15725297
mother_jones,,Q851510
msnbc,,Q13973
slate,,Q60497
vox,,Q20877087
vice,,Q249838
consortium_news,Consortium News,
gray_zone,,Q95965664
mint_press_news,,Q17069328
reveal_news,,Q5059721
truthout,,Q3304315
current_affairs,,Q28452951
real_news_network,,Q1332419
raw_story,,Q7759518
daily_kos,,Q1272560
los_angeles_times,,Q188515
