id,author_person,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
22,[START] Mollie Hemingway [END],16.0,PER,0.9999675750732422,0.0,Mollie Hemingway,Mollie Hemingway,en,-0.1461445242166519,Q24207020
45,[START] James Varney [END],12.0,PER,0.9999938011169434,0.0,James Varney,James Varney,et,-0.9196763038635254,Q276181
55,[START] Chuck DeVore [END],12.0,PER,0.9999862313270568,0.0,Chuck DeVore,Chuck DeVore,en,-0.1702562272548675,Q5115439
56,[START] Ken Cuccinelli [END],14.0,PER,0.9999901056289672,0.0,Ken Cuccinelli,Ken Cuccinelli,en,-0.1341591626405716,Q1738589
58,[START] Shawn Fleetwood [END],15.0,PER,0.9999939203262328,0.0,Shawn Fleetwood,"Флитвуд, Чарльз",ru,-1.5597329139709473,Q203007
60,[START] Todd Bensman [END],12.0,PER,0.9999925494194032,0.0,Todd Bensman,トッド・ヘインズ,ja,-2.177734851837158,Q446580
65,[START] Todd Bensman [END],12.0,PER,0.9999925494194032,0.0,Todd Bensman,トッド・ヘインズ,ja,-2.177734851837158,Q446580
71,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.844097137451172,Q7493422
73,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
75,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
89,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
107,[START] Ronna McDaniel [END],14.0,PER,0.9999765753746032,0.0,Ronna McDaniel,Ronna McDaniel,en,-0.1771716177463531,Q27899325
117,[START] Daniel O'Keefe [END],14.0,PER,0.9999582171440125,0.0,Daniel O'Keefe,Daniel O'Keefe (writer),en,-0.2998814284801483,Q5214127
120,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658572673797607,Q335672
128,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
139,[START] Noah Pincus [END],11.0,PER,0.999987781047821,0.0,Noah Pincus,ノア・ホーリー,ja,-2.429097890853882,Q7045396
158,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658575057983398,Q335672
163,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658830165863037,Q335672
167,[START] Andrew Trunsky [END],14.0,PER,0.9999715089797974,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487582206726076,Q344157
168,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658575057983398,Q335672
178,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
180,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658571481704712,Q335672
192,[START] Andrew Trunsky [END],14.0,PER,0.9999715089797974,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487582206726076,Q344157
197,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658572673797607,Q335672
208,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658575057983398,Q335672
209,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
216,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658572673797607,Q335672
217,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.844097137451172,Q7493422
250,[START] Andrew Trunsky [END],14.0,PER,0.9999715089797974,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487579822540283,Q344157
264,[START] Rep. Chip Roy [END],13.0,PER,0.8815517425537109,3.0,. Chip Roy,Chip Roy,en,-0.0832187980413436,Q58333615
289,[START] Andrew Trunsky [END],14.0,PER,0.9999715089797974,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487582206726076,Q344157
303,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658575057983398,Q335672
316,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658572673797607,Q335672
322,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.84384024143219,Q7493422
360,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
361,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658572673797607,Q335672
365,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658572673797607,Q335672
367,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658575057983398,Q335672
372,[START] Andrew Trunsky [END],14.0,PER,0.9999715089797974,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487582206726076,Q344157
375,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.8438401222229004,Q7493422
376,[START] Sen. Ted Cruz [END],13.0,PER,0.9999869465827942,5.0,Ted Cruz,Ted Cruz,en,-0.1167768090963363,Q2036942
378,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658575057983398,Q335672
399,[START] Andrew Trunsky [END],14.0,PER,0.9999715089797974,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487582206726076,Q344157
405,[START] Ronna McDaniel [END],14.0,PER,0.9999765753746032,0.0,Ronna McDaniel,Ronna McDaniel,en,-0.1771716177463531,Q27899325
481,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658575057983398,Q335672
482,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
483,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658572673797607,Q335672
514,[START] Jacob Yusufov [END],13.0,PER,0.9999563097953796,0.0,Jacob Yusufov,יעקב יוסף,he,-1.23567795753479,Q2777806
516,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
520,[START] Andrew Trunsky [END],14.0,PER,0.999971330165863,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487582206726076,Q344157
531,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658575057983398,Q335672
532,[START] Andrew Trunsky [END],14.0,PER,0.999971330165863,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487582206726076,Q344157
582,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658830165863037,Q335672
588,[START] Andrew Trunsky [END],14.0,PER,0.9999715089797974,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487582206726076,Q344157
589,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658572673797607,Q335672
603,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
611,[START] Daniel O'Keefe [END],14.0,PER,0.9999582171440125,0.0,Daniel O'Keefe,Daniel O'Keefe (writer),en,-0.2998814284801483,Q5214127
636,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
653,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658571481704712,Q335672
666,[START] David Krayden [END],13.0,PER,0.9999852180480956,0.0,David Krayden,ديفيد كرين,ar,-1.4658830165863037,Q335672
667,[START] Andrew Trunsky [END],14.0,PER,0.9999715089797974,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487582206726076,Q344157
701,[START] Andrew Trunsky [END],14.0,PER,0.9999715089797974,0.0,Andrew Trunsky,アンドリュー・スティーヴンソン,ja,-1.8487582206726076,Q344157
712,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
719,[START] Andrew Jose [END],11.0,PER,0.9999932646751404,0.0,Andrew Jose,安德鲁·霍尼斯,zh,-2.273024320602417,Q505200
722,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
723,[START] Shelby Talcott [END],14.0,PER,0.999985933303833,0.0,Shelby Talcott,Shelby Tucker,en,-1.844097137451172,Q7493422
