id,topic_label,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
0,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
0,[START] president [END],,,,,,President (corporate title),en,-0.240444540977478,Q1255921
1,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
1,[START] crisis [END],,,,,,Crisis,en,-0.3368910253047943,Q381072
2,[START] belarusian [END],8.0,MISC,0.8901251554489136,0.0,belarusi,Belarusian language,en,-0.4655294716358185,Q9091
3,[START] title [END],,,,,,Title (property),en,-0.2226977497339248,Q13629195
3,[START] title 42 [END],,,,,,Title 42,en,-0.1877003908157348,Q7810086
3,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
4,[START] border [END],,,,,,Border,en,-0.2580815851688385,Q133346
4,[START] president [END],,,,,,President (corporate title),en,-0.2404446601867675,Q1255921
5,[START] migrants [END],,,,,,Immigration,en,-0.2622063755989074,Q131288
5,[START] truck [END],,,,,,Truck,en,-0.1200922206044197,Q43193
6,[START] caravan [END],,,,,,Caravan (towed trailer),en,-0.2863685488700866,Q216040
6,[START] migrants [END],,,,,,Immigration,en,-0.2622063755989074,Q131288
7,[START] caravan [END],,,,,,Caravan (towed trailer),en,-0.2863687872886657,Q216040
7,[START] migrants [END],,,,,,Immigration,en,-0.2622063755989074,Q131288
8,[START] border [END],,,,,,Border,en,-0.2581029832363128,Q133346
8,[START] security [END],,,,,,Security,en,-0.1847884953022003,Q2526135
9,[START] border [END],,,,,,Border,en,-0.2580815851688385,Q133346
9,[START] president [END],,,,,,President (corporate title),en,-0.2404446601867675,Q1255921
10,[START] ukraine [END],6.0,MISC,0.8481897711753845,0.0,ukrain,Ukraina lingvo,eo,-0.2749492526054382,Q8798
10,[START] ukrainian [END],6.0,MISC,0.9741621613502502,0.0,ukrain,Ukrainian language,en,-0.1222249493002891,Q8798
11,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
11,[START] president [END],,,,,,President (corporate title),en,-0.2404444217681884,Q1255921
12,[START] title [END],,,,,,Title (property),en,-0.2225920259952545,Q13629195
12,[START] title 42 [END],,,,,,Title 42,en,-0.1876624971628189,Q7810086
12,[START] border [END],,,,,,Border,en,-0.2581031322479248,Q133346
13,[START] afghans [END],,,,,,List of Afghan detainees at Guantanamo Bay,en,-0.4642387926578522,Q4689122
14,[START] border [END],,,,,,Border,en,-0.2580815851688385,Q133346
14,[START] agents [END],,,,,,Agent (economics),en,-0.2408891469240188,Q1415187
14,[START] migrants [END],,,,,,Immigration,en,-0.2622116506099701,Q131288
15,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
15,[START] president [END],,,,,,President (corporate title),en,-0.240444540977478,Q1255921
16,[START] migrants [END],,,,,,Immigration,en,-0.2622116208076477,Q131288
16,[START] truck [END],,,,,,Truck,en,-0.1200922951102256,Q43193
17,[START] border [END],,,,,,Border,en,-0.2581029832363128,Q133346
17,[START] president [END],,,,,,President (corporate title),en,-0.2405276745557785,Q1255921
18,[START] border [END],,,,,,Border,en,-0.2581029832363128,Q133346
18,[START] security [END],,,,,,Security,en,-0.1847884953022003,Q2526135
19,[START] border [END],,,,,,Border,en,-0.2580816447734833,Q133346
19,[START] migrants [END],,,,,,Immigration,en,-0.2622116208076477,Q131288
20,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
20,[START] president [END],,,,,,President (corporate title),en,-0.240444540977478,Q1255921
21,[START] title [END],,,,,,Title (property),en,-0.2225923836231231,Q13629195
21,[START] title 42 [END],,,,,,Title 42,en,-0.1876624971628189,Q7810086
21,[START] border [END],,,,,,Border,en,-0.258081704378128,Q133346
22,[START] border [END],,,,,,Border,en,-0.2580816447734833,Q133346
22,[START] president [END],,,,,,President (corporate title),en,-0.2404444515705108,Q1255921
24,[START] asylum [END],,,,,,Right of asylum,en,-0.3726243376731872,Q11283415
24,[START] court [END],,,,,,Court,en,-0.4194363951683044,Q41487
24,[START] policy [END],,,,,,Policy,en,-0.2542406916618347,Q1156854
25,[START] border [END],,,,,,Border,en,-0.2580815851688385,Q133346
25,[START] migrants [END],,,,,,Immigration,en,-0.2622115612030029,Q131288
25,[START] number [END],,,,,,Number,en,-0.1711077541112899,Q11563
26,[START] border [END],,,,,,Border,en,-0.258081704378128,Q133346
26,[START] migrants [END],,,,,,Immigration,en,-0.2622116506099701,Q131288
27,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
27,[START] migrants [END],,,,,,Immigration,en,-0.2622116208076477,Q131288
27,[START] number [END],,,,,,Number,en,-0.1711070984601974,Q11563
28,[START] migrants [END],,,,,,Immigration,en,-0.2622113823890686,Q131288
29,[START] title [END],,,,,,Title (property),en,-0.2225919961929321,Q13629195
