id,title,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
0, [START] Texas [END]  Gov. Greg Abbott tours southern border,5.0,LOC,0.999991774559021,0.0,Texas,Texas,en,-0.1135629341006279,Q1439
0,Texas Gov.  [START] Greg Abbott [END]  tours southern border,22.0,PER,0.9999927282333374,11.0,Greg Abbott,Greg Abbott,en,-0.0874924957752227,Q5605224
1,Rep.  [START] McCarthy [END]  leads delegation of GOP reps. to southern border,13.0,PER,0.9999836087226868,5.0,McCarthy,Joseph McCarthy,en,-0.1140087321400642,Q189197
1,Rep. McCarthy leads delegation of  [START] GOP [END]  reps. to southern border,37.0,ORG,0.9999779462814332,34.0,GOP,Republican Party (United States),en,-0.1048800647258758,Q29468
2, [START] European [END]  officials aiding Ukrainian refugees targeted with malware -researchers,8.0,MISC,0.9999873638153076,0.0,European,European Union,en,-0.1279106587171554,Q458
2,European officials aiding  [START] Ukrainian [END]  refugees targeted with malware -researchers,35.0,MISC,0.9997762441635132,26.0,Ukrainian,Ukrainians,en,-0.2287882417440414,Q44806
3,"Secy. of State Blinken defends end to  [START] Title 42 [END] , despite border experts warning ‘mass migration event’",46.0,MISC,0.9999727010726928,38.0,Title 42,Title 42 of the United States Code,en,-0.1552071720361709,Q7810086
4, [START] DHS [END]  giving free smartphones to illegal immigrants,3.0,ORG,0.9999920725822448,0.0,DHS,United States Department of Homeland Security,en,-0.0976178869605064,Q11231
6,Largest migrant caravan from southern  [START] Mexico [END]  en route to border,44.0,LOC,0.9999982118606568,38.0,Mexico,Mexico,en,-0.1002318635582923,Q96
7,Anti-migrant vigilante group Dudula stokes tensions in  [START] South Africa [END] ,67.0,LOC,0.999998152256012,55.0,South Africa,South Africa,en,-0.0957675501704216,Q258
8,DHS Secy.  [START] Mayorkas [END]  testifies about plans after repeal of Title 42,18.0,PER,0.9999279379844666,10.0,Mayorkas,Mayorkas,en,-0.2037321478128433,Q4714600
8,DHS Secy. Mayorkas testifies about plans after repeal of  [START] Title 42 [END] ,65.0,MISC,0.9999490976333618,57.0,Title 42,Title 42 of the Code of Federal Regulations,en,-0.1603931784629821,Q17126366
10," [START] Mila Kunis [END] , Ashton Kutcher fundraiser for Ukraine refugees tops $6.8 million",10.0,PER,0.9998877048492432,0.0,Mila Kunis,Mila Kunis,en,-0.0882413387298584,Q37628
10,"Mila Kunis,  [START] Ashton Kutcher [END]  fundraiser for Ukraine refugees tops $6.8 million",26.0,PER,0.9998546838760376,12.0,Ashton Kutcher,Ashton Kutcher,en,-0.0815534517168998,Q164782
10,"Mila Kunis, Ashton Kutcher fundraiser for  [START] Ukraine [END]  refugees tops $6.8 million",49.0,LOC,0.9999983310699464,42.0,Ukraine,Ukraine,en,-0.1156316697597503,Q212
11, [START] Mexico [END]  President Lopez Obrador: US.-Mexico border ‘out of control’,6.0,LOC,0.9999953508377076,0.0,Mexico,Mexico,en,-0.1042296662926673,Q96
11,Mexico President  [START] Lopez Obrador [END] : US.-Mexico border ‘out of control’,30.0,PER,0.9999904036521912,17.0,Lopez Obrador,Andrés Manuel López Obrador,en,-0.143157884478569,Q318508
11,Mexico President Lopez Obrador: US.- [START] Mexico [END]  border ‘out of control’,42.0,LOC,0.9571270942687988,36.0,Mexico,Mexico,en,-0.1036614030599594,Q96
12,Migrants stuck in  [START] Mexico [END]  hopeful U.S. will lift COVID-era expulsion policy at border,24.0,LOC,0.9999971389770508,18.0,Mexico,Mexico,en,-0.1016713678836822,Q96
12,Migrants stuck in Mexico hopeful  [START] U.S [END] . will lift COVID-era expulsion policy at border,36.0,LOC,0.999994158744812,33.0,US,United States,en,-0.1109003871679306,Q30
13,Afghan basketball star finds hope in  [START] Spain [END]  after fleeing Taliban,42.0,LOC,0.9999985694885254,37.0,Spain,Spain,en,-0.1064151301980018,Q29
16, [START] Biden [END]  immigration policies under scrutiny after migrant deaths in Texas,5.0,PER,0.999973475933075,0.0,Biden,Joe Biden,en,-0.0745851173996925,Q6279
16,Biden immigration policies under scrutiny after migrant deaths in  [START] Texas [END] ,71.0,LOC,0.9999948740005492,66.0,Texas,Texas,en,-0.1025073304772377,Q1439
18, [START] DHS Secy [END] . Mayorkas warns migrants not to travel to southern border,8.0,ORG,0.9965273141860962,0.0,DHS Secy,Department of Homeland Security,en,-0.4752003252506256,Q11231
18,DHS Secy.  [START] Mayorkas [END]  warns migrants not to travel to southern border,18.0,PER,0.9998809099197388,10.0,Mayorkas,Mayorkas,en,-0.350409984588623,Q4714600
19,2nd bus from  [START] Texas [END]  drops off illegal immigrants in D.C.,18.0,LOC,0.9999961853027344,13.0,Texas,Texas,en,-0.1018131822347641,Q1439
19,2nd bus from Texas drops off illegal immigrants in  [START] D.C [END] .,54.0,LOC,0.999990463256836,51.0,D.C,"Washington, D.C.",en,-0.1090984046459198,Q61
20,Baby Formula Shortage: What the  [START] FDA [END]  isn’t telling you,35.0,ORG,0.9999940395355223,32.0,FDA,Food and Drug Administration,en,-0.147059291601181,Q204711
21, [START] White House [END] ’s end to Title 42 to be argued in court as end date looms,11.0,LOC,0.9999862909317015,0.0,White House,White House,en,-0.1122961044311523,Q35525
21,White House’s end to  [START] Title 42 [END]  to be argued in court as end date looms,29.0,MISC,0.9999650716781616,21.0,Title 42,Title 42 of the United States Code,en,-0.1020236983895301,Q7810086
24, [START] SCOTUS [END]  Sides With Biden Over Trump's 'Remain In Mexico' Policy,6.0,ORG,0.9999902844429016,0.0,SCOTUS,Secretariat of Communications and Transportation (Mexico),en,-0.277178406715393,Q750174
24,SCOTUS Sides With  [START] Biden [END]  Over Trump's 'Remain In Mexico' Policy,23.0,PER,0.9999942183494568,18.0,Biden,Joe Biden,en,-0.0865862667560577,Q6279
24,SCOTUS Sides With Biden Over  [START] Trump [END] 's 'Remain In Mexico' Policy,34.0,PER,0.9999600648880004,29.0,Trump,Donald Trump,en,-0.1102905049920082,Q22686
