id,author_organization,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
2370,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2371,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2372,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2373,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2374,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2375,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2376,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2377,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2378,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2379,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2380,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2381,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2382,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2383,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2384,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2385,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2386,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2387,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2388,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2389,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2390,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2391,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2392,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2393,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2394,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2395,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2396,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2397,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2398,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2399,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2400,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2401,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2402,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2403,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2404,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2405,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2406,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2407,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2408,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2409,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2410,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2411,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2412,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2413,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2414,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2415,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2416,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2417,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2418,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2419,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2420,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2421,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2422,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2423,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2424,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2425,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2426,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2427,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2428,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2429,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2430,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.132946252822876,Q211013
2431,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
2432,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329467296600342,Q211013
2433,[START] Hannity Staff [END],,,,,,Hannibal Lecter,en,-1.1329463720321655,Q211013
