id,author_person,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
22,[START] Mollie Hemingway [END],16.0,PER,0.9999675750732422,0.0,Mollie Hemingway,Mollie Hemingway,en,-0.14614452421665192,Q24207020
24,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410138368606567,Q18558957
25,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410135984420776,Q18558957
26,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857002794742584,Q6228719
27,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857000708580017,Q6228719
28,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857000708580017,Q6228719
29,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410138368606567,Q18558957
30,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857000410556793,Q6228719
31,[START] Audrey Unverferth [END],17.0,PER,0.9999650120735168,0.0,Audrey Unverferth,奥德丽·米特莱尔泽,zh,-2.263155460357666,Q758990
32,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857000708580017,Q6228719
33,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410135984420776,Q18558957
34,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410138368606567,Q18558957
35,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410135984420776,Q18558957
36,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857002794742584,Q6228719
37,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410135984420776,Q18558957
39,[START] Christopher Bedford [END],19.0,PER,0.9999954700469972,0.0,Christopher Bedford,クリストファー・レイン,ja,-1.7289438247680664,Q5112714
40,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410138368606567,Q18558957
41,[START] Jordan Lamb [END],11.0,PER,0.999985933303833,0.0,Jordan Lamb,ジョーダン・ラッド,ja,-2.026683807373047,Q241841
42,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857002794742584,Q6228719
43,[START] Jon Feere [END],9.0,PER,0.9999948143959044,0.0,Jon Feere,ジョン・フィールド,ja,-1.839311122894287,Q209684
44,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410135984420776,Q18558957
45,[START] James Varney [END],12.0,PER,0.9999938011169434,0.0,James Varney,James Varney,et,-0.9196763038635254,Q276181
46,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857000410556793,Q6228719
47,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410137176513672,Q18558957
48,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410135984420776,Q18558957
49,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857000708580017,Q6228719
50,[START] Tristan Justice [END],15.0,ORG,0.7221524119377136,0.0,Tristan Justice,トリスタン,ja,-1.971328854560852,Q954012
51,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410135984420776,Q18558957
52,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410137176513672,Q18558957
53,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857000708580017,Q6228719
54,[START] Tristan Justice [END],15.0,ORG,0.7221524119377136,0.0,Tristan Justice,トリスタン,ja,-1.9713289737701416,Q954012
55,[START] Chuck DeVore [END],12.0,PER,0.9999862313270568,0.0,Chuck DeVore,Chuck DeVore,en,-0.17025622725486755,Q5115439
56,[START] Ken Cuccinelli [END],14.0,PER,0.9999901056289672,0.0,Ken Cuccinelli,Ken Cuccinelli,en,-0.1341591626405716,Q1738589
57,[START] John Daniel Davidson [END],20.0,PER,0.999991774559021,0.0,John Daniel Davidson,John Davidson (ice hockey),en,-0.4857002794742584,Q6228719
58,[START] Shawn Fleetwood [END],15.0,PER,0.9999939203262328,0.0,Shawn Fleetwood,"Флитвуд, Чарльз",ru,-1.5597329139709473,Q203007
59,[START] Spencer Lindquist [END],17.0,PER,0.9999853372573853,0.0,Spencer Lindquist,スペンサー・ウィリアムズ,ja,-1.642270565032959,Q1282480
60,[START] Todd Bensman [END],12.0,PER,0.9999925494194032,0.0,Todd Bensman,トッド・ヘインズ,ja,-2.177734851837158,Q446580
61,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410135984420776,Q18558957
62,[START] Elle Reynolds [END],13.0,PER,0.9999655485153198,0.0,Elle Reynolds,"Рейнольдс, Энн",ru,-1.6830533742904663,Q563072
63,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410135984420776,Q18558957
64,[START] Spencer Lindquist [END],17.0,PER,0.9999853372573853,0.0,Spencer Lindquist,スペンサー・ウィリアムズ,ja,-1.642270565032959,Q1282480
65,[START] Todd Bensman [END],12.0,PER,0.9999925494194032,0.0,Todd Bensman,トッド・ヘインズ,ja,-2.177734851837158,Q446580
66,[START] Tristan Justice [END],15.0,ORG,0.7221524119377136,0.0,Tristan Justice,トリスタン,ja,-1.971328854560852,Q954012
67,[START] Jordan Boyd [END],11.0,PER,0.9999894499778748,0.0,Jordan Boyd,ジョーダン・モリス,ja,-1.5410137176513672,Q18558957
68,[START] Levon Satamian [END],14.0,PER,0.999988853931427,0.0,Levon Satamian,Levon Sayan,en,-2.676983594894409,Q2092920
69,[START] Brianna Lyman [END],13.0,PER,0.999989688396454,0.0,Brianna Lyman,ブリアナ,ja,-1.8568992614746094,Q913310
70,[START] Kaylee Greenlee [END],15.0,PER,0.9999791979789734,0.0,Kaylee Greenlee,Kaylee,en,-1.3218165636062622,Q2493543
71,[START] Christian Datoc [END],15.0,PER,0.9999811053276062,0.0,Christian Datoc,クリスチャン・ダニエルス,ja,-2.359196901321411,Q11299224
71,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440971374511719,Q7493422
72,[START] Jorge Ventura [END],13.0,PER,0.9999854564666748,0.0,Jorge Ventura,"Вентура, Сантьяго",ru,-1.9997024536132812,Q367978
73,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
74,[START] Taylor Giles [END],12.0,PER,0.9999865889549256,0.0,Taylor Giles,テイラー・ガリソン,ja,-2.897838830947876,Q16770195
75,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
76,[START] Jennie Taer [END],11.0,PER,0.9999772310256958,0.0,Jennie Taer,جيني تايلر,ar,-1.656420350074768,Q3106793
77,[START] Michael Ginsberg [END],16.0,PER,0.9999954700469972,0.0,Michael Ginsberg,Michael Ginsberg,fr,-0.5267412066459656,Q3023557
78,[START] Jennie Taer [END],11.0,PER,0.9999772310256958,0.0,Jennie Taer,جيني تايلر,ar,-1.6564209461212158,Q3106793
79,[START] Kaylee Greenlee [END],15.0,PER,0.9999791979789734,0.0,Kaylee Greenlee,Kaylee,en,-1.3218165636062622,Q2493543
80,[START] Kaylee Greenlee [END],15.0,PER,0.9999791979789734,0.0,Kaylee Greenlee,Kaylee,en,-1.3218162059783936,Q2493543
81,[START] Kaylee Greenlee [END],15.0,PER,0.9999791979789734,0.0,Kaylee Greenlee,Kaylee,en,-1.3218166828155518,Q2493543
82,[START] Jennie Taer [END],11.0,PER,0.9999772310256958,0.0,Jennie Taer,جيني تايلر,ar,-1.6564209461212158,Q3106793
83,[START] Mitch Picasso [END],13.0,PER,0.9999701380729676,0.0,Mitch Picasso,米奇,zh,-1.9513453245162964,Q17503533
84,[START] Jordan Lancaster [END],16.0,PER,0.997003436088562,0.0,Jordan Lancaster,ジョーダン・ロマノ,ja,-2.3689420223236084,Q28911799
85,[START] Michael Ginsberg [END],16.0,PER,0.9999954700469972,0.0,Michael Ginsberg,Michael Ginsberg,fr,-0.5267411470413208,Q3023557
86,[START] Kaylee Greenlee [END],15.0,PER,0.9999791979789734,0.0,Kaylee Greenlee,Kaylee,en,-1.3218166828155518,Q2493543
87,[START] Neil Patel [END],10.0,PER,0.9999804496765136,0.0,Neil Patel,Neil Patel (politician),en,-0.38566669821739197,Q6989132
88,[START] Kaylee Greenlee [END],15.0,PER,0.9999791979789734,0.0,Kaylee Greenlee,Kaylee,en,-1.3218166828155518,Q2493543
89,[START] Shelby Talcott [END],14.0,PER,0.9999858736991882,0.0,Shelby Talcott,Shelby Tucker,en,-1.8440968990325928,Q7493422
90,[START] Colby McCoy [END],11.0,PER,0.999986171722412,0.0,Colby McCoy,科爾比 (英國),zh,-2.2267298698425293,Q994925
