id,topic_label,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
0,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
0,[START] said [END],,,,,,Said (Schriftsteller),de,-0.4283659756183624,Q1773183
0,[START] biden [END],,,,,,Biden,nl,-0.44699200987815857,Q6279
0,[START] president [END],,,,,,President (corporate title),en,-0.24044454097747803,Q1255921
1,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
1,[START] crisis [END],,,,,,Crisis,en,-0.3368910253047943,Q381072
1,[START] biden [END],,,,,,Biden,nl,-0.44699254631996155,Q6279
1,[START] administration [END],,,,,,Concurso de acreedores,es,-0.23785585165023804,Q860110
2,[START] belarus [END],7.0,LOC,0.9999707341194152,0.0,belarus,Belarusian language,en,-0.4819280207157135,Q9091
2,[START] eu [END],,,,,,.eu,ja,-1.2120281457901,Q41107
2,[START] poland [END],6.0,LOC,0.9999296069145204,0.0,poland,Język polski,pl,-0.6368460059165955,Q809
2,[START] belarusian [END],8.0,MISC,0.8901251554489136,0.0,belarusi,Belarusian language,en,-0.4655294716358185,Q9091
3,[START] title [END],,,,,,Title (property),en,-0.22269774973392487,Q13629195
3,[START] title 42 [END],,,,,,Title 42,en,-0.18770039081573486,Q7810086
3,[START] 42 [END],,,,,,42,gl,-0.12571614980697632,Q23694
3,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
4,[START] border [END],,,,,,Border,en,-0.2580815851688385,Q133346
4,[START] said [END],,,,,,Said (Schriftsteller),de,-0.42836567759513855,Q1773183
4,[START] biden [END],,,,,,Biden,nl,-0.4469926357269287,Q6279
4,[START] president [END],,,,,,President (corporate title),en,-0.24044466018676758,Q1255921
5,[START] migrants [END],,,,,,Immigration,en,-0.26220637559890747,Q131288
5,[START] antonio [END],7.0,PER,0.9986450672149658,0.0,antonio,Antonio,eo,-0.4234989583492279,Q7141520
5,[START] san antonio [END],11.0,LOC,0.9999743103981018,0.0,san antonio,Antonio abate,it,-0.24675148725509644,Q170547
5,[START] truck [END],,,,,,Truck,en,-0.12009222060441971,Q43193
6,[START] caravan [END],,,,,,Caravan (towed trailer),en,-0.28636854887008667,Q216040
6,[START] migrants [END],,,,,,Immigration,en,-0.26220637559890747,Q131288
6,[START] mexico [END],6.0,LOC,0.9999823570251464,0.0,mexico,Mexique,fr,-0.5521404147148132,Q96
6,[START] tapachula [END],,,,,,Tapachula,fr,-0.39598187804222107,Q988225
7,[START] caravan [END],,,,,,Caravan (towed trailer),en,-0.28636878728866577,Q216040
7,[START] migrants [END],,,,,,Immigration,en,-0.26220637559890747,Q131288
7,[START] mexico [END],6.0,LOC,0.9999823570251464,0.0,mexico,Mexique,fr,-0.5521405339241028,Q96
7,[START] tapachula [END],,,,,,Tapachula,fr,-0.3959815800189972,Q988225
8,[START] mayorkas [END],,,,,,Mayorkas,en,-0.8313058018684387,Q4714600
8,[START] border [END],,,,,,Border,en,-0.25810298323631287,Q133346
8,[START] dhs [END],,,,,,DHS,ja,-1.43584144115448,Q342678
8,[START] security [END],,,,,,Security,en,-0.18478849530220032,Q2526135
9,[START] border [END],,,,,,Border,en,-0.2580815851688385,Q133346
9,[START] said [END],,,,,,Said (Schriftsteller),de,-0.42836567759513855,Q1773183
9,[START] biden [END],,,,,,Biden,nl,-0.4469926357269287,Q6279
9,[START] president [END],,,,,,President (corporate title),en,-0.24044466018676758,Q1255921
10,[START] ukraine [END],6.0,MISC,0.8481897711753845,0.0,ukrain,Ukraina lingvo,eo,-0.27494925260543823,Q8798
10,[START] russian [END],3.0,MISC,0.9307260513305664,0.0,rus,"List of minor Old Testament figures, A–K",en,-0.6873985528945923,Q2712858
10,[START] said [END],,,,,,Said (Schriftsteller),de,-0.42836567759513855,Q1773183
10,[START] ukrainian [END],6.0,MISC,0.9741621613502502,0.0,ukrain,Ukrainian language,en,-0.12222494930028915,Q8798
11,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
11,[START] said [END],,,,,,Said (Schriftsteller),de,-0.428366094827652,Q1773183
11,[START] biden [END],,,,,,Biden,nl,-0.44699254631996155,Q6279
11,[START] president [END],,,,,,President (corporate title),en,-0.24044442176818848,Q1255921
12,[START] title [END],,,,,,Title (property),en,-0.22259202599525452,Q13629195
12,[START] title 42 [END],,,,,,Title 42,en,-0.1876624971628189,Q7810086
12,[START] 42 [END],,,,,,42,gl,-0.1257004737854004,Q23694
12,[START] border [END],,,,,,Border,en,-0.2581031322479248,Q133346
13,[START] afghanistan [END],11.0,LOC,0.9791803359985352,0.0,afghanistan,Afganistan,pl,-0.659895658493042,Q889
13,[START] afghans [END],,,,,,List of Afghan detainees at Guantanamo Bay,en,-0.4642387926578522,Q4689122
13,[START] afghan [END],6.0,MISC,0.8626899123191833,2.0,ghan,Język afgański,pl,-0.6272651553153992,Q58680
13,[START] taliban [END],,,,,,Talibán,es,-0.6502552628517151,Q42418
14,[START] border [END],,,,,,Border,en,-0.2580815851688385,Q133346
14,[START] agents [END],,,,,,Agent (economics),en,-0.24088914692401886,Q1415187
14,[START] migrants [END],,,,,,Immigration,en,-0.2622116506099701,Q131288
14,[START] patrol [END],,,,,,Patrol,pl,-0.3624799847602844,Q2058221
15,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
15,[START] said [END],,,,,,Said (Schriftsteller),de,-0.4283659756183624,Q1773183
15,[START] biden [END],,,,,,Biden,nl,-0.44699200987815857,Q6279
15,[START] president [END],,,,,,President (corporate title),en,-0.24044454097747803,Q1255921
16,[START] migrants [END],,,,,,Immigration,en,-0.2622116208076477,Q131288
16,[START] antonio [END],7.0,PER,0.9986450672149658,0.0,antonio,Antonio,eo,-0.42349934577941895,Q7141520
16,[START] san antonio [END],11.0,LOC,0.9999743103981018,0.0,san antonio,Antonio abate,it,-0.24675117433071136,Q170547
16,[START] truck [END],,,,,,Truck,en,-0.12009229511022568,Q43193
17,[START] border [END],,,,,,Border,en,-0.25810298323631287,Q133346
17,[START] said [END],,,,,,Said (Schriftsteller),de,-0.42842018604278564,Q1773183
17,[START] biden [END],,,,,,Biden,nl,-0.4471372961997986,Q6279
17,[START] president [END],,,,,,President (corporate title),en,-0.2405276745557785,Q1255921
18,[START] mayorkas [END],,,,,,Mayorkas,en,-0.8313058018684387,Q4714600
18,[START] border [END],,,,,,Border,en,-0.25810298323631287,Q133346
18,[START] dhs [END],,,,,,DHS,ja,-1.43584144115448,Q342678
18,[START] security [END],,,,,,Security,en,-0.18478849530220032,Q2526135
19,[START] abbott [END],6.0,ORG,0.9161779284477234,0.0,abbott,Abbott,et,-0.5297333002090454,Q2699646
19,[START] texas [END],5.0,LOC,0.999791145324707,0.0,texas,Texas,es,-0.9797600507736206,Q1439
19,[START] border [END],,,,,,Border,en,-0.2580816447734833,Q133346
19,[START] migrants [END],,,,,,Immigration,en,-0.2622116208076477,Q131288
20,[START] border [END],,,,,,Border,en,-0.25808185338974,Q133346
20,[START] said [END],,,,,,Said (Schriftsteller),de,-0.4283659756183624,Q1773183
20,[START] biden [END],,,,,,Biden,nl,-0.44699200987815857,Q6279
20,[START] president [END],,,,,,President (corporate title),en,-0.24044454097747803,Q1255921
21,[START] title [END],,,,,,Title (property),en,-0.22259238362312317,Q13629195
21,[START] title 42 [END],,,,,,Title 42,en,-0.1876624971628189,Q7810086
21,[START] 42 [END],,,,,,42,gl,-0.12567903101444244,Q23694
21,[START] border [END],,,,,,Border,en,-0.25808170437812805,Q133346
22,[START] border [END],,,,,,Border,en,-0.2580816447734833,Q133346
22,[START] said [END],,,,,,Said (Schriftsteller),de,-0.428366094827652,Q1773183
22,[START] biden [END],,,,,,Biden,nl,-0.44699230790138245,Q6279
22,[START] president [END],,,,,,President (corporate title),en,-0.24044445157051086,Q1255921
24,[START] asylum [END],,,,,,Right of asylum,en,-0.37262433767318726,Q11283415
24,[START] mexico [END],6.0,LOC,0.9999823570251464,0.0,mexico,Mexique,fr,-0.5520774722099304,Q96
24,[START] court [END],,,,,,Court,en,-0.41943639516830444,Q41487
24,[START] policy [END],,,,,,Policy,en,-0.2542406916618347,Q1156854
25,[START] border [END],,,,,,Border,en,-0.2580815851688385,Q133346
25,[START] migrants [END],,,,,,Immigration,en,-0.26221156120300293,Q131288
25,[START] cbp [END],,,,,,Cbp,fa,-1.272566556930542,Q406734
25,[START] number [END],,,,,,Number,en,-0.17110775411128998,Q11563
26,[START] abbott [END],6.0,ORG,0.9161779284477234,0.0,abbott,Abbott,et,-0.5297330617904663,Q2699646
26,[START] texas [END],5.0,LOC,0.999791145324707,0.0,texas,Texas,es,-0.9797599911689758,Q1439
