id,title,end,entity_group,ner_score,start,word,linked_entity,linked_entity_language,nel_score,wikidata_id
0, [START] Texas [END]  Gov. Greg Abbott tours southern border,5.0,LOC,0.999991774559021,0.0,Texas,Texas,en,-0.1135629341006279,Q1439
0,Texas Gov.  [START] Greg Abbott [END]  tours southern border,22.0,PER,0.9999927282333374,11.0,Greg Abbott,Greg Abbott,en,-0.08749249577522278,Q5605224
1,Rep.  [START] McCarthy [END]  leads delegation of GOP reps. to southern border,13.0,PER,0.9999836087226868,5.0,McCarthy,Joseph McCarthy,en,-0.11400873214006424,Q189197
1,Rep. McCarthy leads delegation of  [START] GOP [END]  reps. to southern border,37.0,ORG,0.9999779462814332,34.0,GOP,Republican Party (United States),en,-0.10488006472587585,Q29468
2, [START] European [END]  officials aiding Ukrainian refugees targeted with malware -researchers,8.0,MISC,0.9999873638153076,0.0,European,European Union,en,-0.12791065871715546,Q458
2,European officials aiding  [START] Ukrainian [END]  refugees targeted with malware -researchers,35.0,MISC,0.9997762441635132,26.0,Ukrainian,Ukrainians,en,-0.22878824174404144,Q44806
3," [START] Secy [END] . of State Blinken defends end to Title 42, despite border experts warning ‘mass migration event’",4.0,ORG,0.9637150764465332,0.0,Secy,Secession,en,-0.5973879098892212,Q687031
3,"Secy.  [START] of State [END]  Blinken defends end to Title 42, despite border experts warning ‘mass migration event’",14.0,ORG,0.990347683429718,6.0,of State,Ministry (government department),en,-0.4336691200733185,Q192350
3,"Secy. of State  [START] Blinken [END]  defends end to Title 42, despite border experts warning ‘mass migration event’",22.0,PER,0.9982068538665771,15.0,Blinken,Blinken,en,-0.5017477869987488,Q19919672
3,"Secy. of State Blinken defends end to  [START] Title 42 [END] , despite border experts warning ‘mass migration event’",46.0,MISC,0.9999727010726928,38.0,Title 42,Title 42 of the United States Code,en,-0.15520717203617096,Q7810086
4, [START] DHS [END]  giving free smartphones to illegal immigrants,3.0,ORG,0.9999920725822448,0.0,DHS,United States Department of Homeland Security,en,-0.09761788696050644,Q11231
6,Largest migrant caravan from southern  [START] Mexico [END]  en route to border,44.0,LOC,0.9999982118606568,38.0,Mexico,Mexico,en,-0.10023186355829239,Q96
7,Anti-migrant vigilante group  [START] Dudula [END]  stokes tensions in South Africa,35.0,ORG,0.999933421611786,29.0,Dudula,List of minor secular observances,en,-1.3968837261199951,Q59128
7,Anti-migrant vigilante group Dudula stokes tensions in  [START] South Africa [END] ,67.0,LOC,0.999998152256012,55.0,South Africa,South Africa,en,-0.0957675501704216,Q258
8, [START] DHS [END]  Secy. Mayorkas testifies about plans after repeal of Title 42,3.0,ORG,0.7721849679946899,0.0,DHS,United States Department of Homeland Security,en,-0.09025202691555023,Q11231
8,DHS  [START] Secy [END] . Mayorkas testifies about plans after repeal of Title 42,8.0,PER,0.9995582103729248,4.0,Secy,Department of Homeland Security,en,-0.8972597718238831,Q11231
8,DHS Secy.  [START] Mayorkas [END]  testifies about plans after repeal of Title 42,18.0,PER,0.9999279379844666,10.0,Mayorkas,Mayorkas,en,-0.20373214781284332,Q4714600
8,DHS Secy. Mayorkas testifies about plans after repeal of  [START] Title 42 [END] ,65.0,MISC,0.9999490976333618,57.0,Title 42,Title 42 of the Code of Federal Regulations,en,-0.16039317846298218,Q17126366
9, [START] Ariz [END] . Border Patrol agents report increased migrant activity,4.0,LOC,0.9999257922172546,0.0,Ariz,Ariz,en,-0.2676044702529907,Q566386
9,Ariz. Border  [START] Patro [END] l agents report increased migrant activity,18.0,ORG,0.5409278869628906,13.0,Patro,Patro,en,-0.2742103934288025,Q3780759
10," [START] Mila Kunis [END] , Ashton Kutcher fundraiser for Ukraine refugees tops $6.8 million",10.0,PER,0.9998877048492432,0.0,Mila Kunis,Mila Kunis,en,-0.0882413387298584,Q37628
10,"Mila Kunis,  [START] Ashton Kutcher [END]  fundraiser for Ukraine refugees tops $6.8 million",26.0,PER,0.9998546838760376,12.0,Ashton Kutcher,Ashton Kutcher,en,-0.08155345171689987,Q164782
10,"Mila Kunis, Ashton Kutcher fundraiser for  [START] Ukraine [END]  refugees tops $6.8 million",49.0,LOC,0.9999983310699464,42.0,Ukraine,Ukraine,en,-0.11563166975975037,Q212
11, [START] Mexico [END]  President Lopez Obrador: US.-Mexico border ‘out of control’,6.0,LOC,0.9999953508377076,0.0,Mexico,Mexico,en,-0.10422966629266739,Q96
