id,author_organization,end,entity_group,score,start,word
2370,Hannity Staff,,,,,
2371,Hannity Staff,,,,,
2372,Hannity Staff,,,,,
2373,Hannity Staff,,,,,
2374,Hannity Staff,,,,,
2375,Hannity Staff,,,,,
2376,Hannity Staff,,,,,
2377,Hannity Staff,,,,,
2378,Hannity Staff,,,,,
2379,Hannity Staff,,,,,
2380,Hannity Staff,,,,,
2381,Hannity Staff,,,,,
2382,Hannity Staff,,,,,
2383,Hannity Staff,,,,,
2384,Hannity Staff,,,,,
2385,Hannity Staff,,,,,
2386,Hannity Staff,,,,,
2387,Hannity Staff,,,,,
2388,Hannity Staff,,,,,
2389,Hannity Staff,,,,,
2390,Hannity Staff,,,,,
2391,Hannity Staff,,,,,
2392,Hannity Staff,,,,,
2393,Hannity Staff,,,,,
2394,Hannity Staff,,,,,
2395,Hannity Staff,,,,,
2396,Hannity Staff,,,,,
2397,Hannity Staff,,,,,
2398,Hannity Staff,,,,,
2399,Hannity Staff,,,,,
2400,Hannity Staff,,,,,
2401,Hannity Staff,,,,,
2402,Hannity Staff,,,,,
2403,Hannity Staff,,,,,
2404,Hannity Staff,,,,,
2405,Hannity Staff,,,,,
2406,Hannity Staff,,,,,
2407,Hannity Staff,,,,,
2408,Hannity Staff,,,,,
2409,Hannity Staff,,,,,
2410,Hannity Staff,,,,,
2411,Hannity Staff,,,,,
2412,Hannity Staff,,,,,
2413,Hannity Staff,,,,,
2414,Hannity Staff,,,,,
2415,Hannity Staff,,,,,
2416,Hannity Staff,,,,,
2417,Hannity Staff,,,,,
2418,Hannity Staff,,,,,
2419,Hannity Staff,,,,,
2420,Hannity Staff,,,,,
2421,Hannity Staff,,,,,
2422,Hannity Staff,,,,,
2423,Hannity Staff,,,,,
2424,Hannity Staff,,,,,
2425,Hannity Staff,,,,,
2426,Hannity Staff,,,,,
2427,Hannity Staff,,,,,
2428,Hannity Staff,,,,,
2429,Hannity Staff,,,,,
2430,Hannity Staff,,,,,
2431,Hannity Staff,,,,,
2432,Hannity Staff,,,,,
2433,Hannity Staff,,,,,
2434,Hannity Staff,,,,,
2435,Hannity Staff,,,,,
2436,Hannity Staff,,,,,
2437,Hannity Staff,,,,,
2438,Hannity Staff,,,,,
2439,Hannity Staff,,,,,
2440,Hannity Staff,,,,,
2441,Hannity Staff,,,,,
2442,Hannity Staff,,,,,
2443,Hannity Staff,,,,,
2444,Hannity Staff,,,,,
2445,Hannity Staff,,,,,
2446,Hannity Staff,,,,,
2447,Hannity Staff,,,,,
2448,Hannity Staff,,,,,
2449,Hannity Staff,,,,,
2450,Hannity Staff,,,,,
2451,Hannity Staff,,,,,
2452,Hannity Staff,,,,,
2453,Hannity Staff,,,,,
2454,Hannity Staff,,,,,
2455,Hannity Staff,,,,,
2456,Hannity Staff,,,,,
2457,Hannity Staff,,,,,
2458,Hannity Staff,,,,,
2459,Hannity Staff,,,,,
2460,Hannity Staff,,,,,
2461,Hannity Staff,,,,,
2462,Hannity Staff,,,,,
2463,Hannity Staff,,,,,
2464,Hannity Staff,,,,,
2465,Hannity Staff,,,,,
2466,Hannity Staff,,,,,
2467,Hannity Staff,,,,,
2468,Hannity Staff,,,,,
2469,Hannity Staff,,,,,
2470,Hannity Staff,,,,,
2471,Hannity Staff,,,,,
2472,Hannity Staff,,,,,
2473,Hannity Staff,,,,,
2474,Hannity Staff,,,,,
2475,Hannity Staff,,,,,
2476,Hannity Staff,,,,,
2477,Hannity Staff,,,,,
2478,Hannity Staff,,,,,
2479,Hannity Staff,,,,,
2480,Hannity Staff,,,,,
2481,Hannity Staff,,,,,
2482,Hannity Staff,,,,,
2483,Hannity Staff,,,,,
2484,Hannity Staff,,,,,
2485,Hannity Staff,,,,,
2486,Hannity Staff,,,,,
2487,Hannity Staff,,,,,
2488,Hannity Staff,,,,,
2489,Hannity Staff,,,,,
2490,Hannity Staff,,,,,
2491,Hannity Staff,,,,,
2492,Hannity Staff,,,,,
2493,Hannity Staff,,,,,
2494,Hannity Staff,,,,,
2495,Hannity Staff,,,,,
2496,Hannity Staff,,,,,
2497,Hannity Staff,,,,,
2498,Hannity Staff,,,,,
2499,Hannity Staff,,,,,
2500,Hannity Staff,,,,,
2501,Hannity Staff,,,,,
2502,Hannity Staff,,,,,
2503,Hannity Staff,,,,,
2504,Hannity Staff,,,,,
2505,Hannity Staff,,,,,
2506,Hannity Staff,,,,,
2507,Hannity Staff,,,,,
2508,Hannity Staff,,,,,
2509,Hannity Staff,,,,,
2510,Hannity Staff,,,,,
2511,Hannity Staff,,,,,
2512,Hannity Staff,,,,,
2513,Hannity Staff,,,,,
2514,Hannity Staff,,,,,
2515,Hannity Staff,,,,,
2516,Hannity Staff,,,,,
2517,Hannity Staff,,,,,
2518,Hannity Staff,,,,,
2519,Hannity Staff,,,,,
2520,Hannity Staff,,,,,
2521,Hannity Staff,,,,,
2522,Hannity Staff,,,,,
2523,Hannity Staff,,,,,
2524,Hannity Staff,,,,,
2525,Hannity Staff,,,,,
2526,Hannity Staff,,,,,
2527,Hannity Staff,,,,,
2528,Hannity Staff,,,,,
2529,Hannity Staff,,,,,
2530,Hannity Staff,,,,,
2531,Hannity Staff,,,,,
2532,Hannity Staff,,,,,
2533,Hannity Staff,,,,,
2534,Hannity Staff,,,,,
2535,Hannity Staff,,,,,
2536,Hannity Staff,,,,,
2537,Hannity Staff,,,,,
2538,Hannity Staff,,,,,
2539,Hannity Staff,,,,,
2540,Hannity Staff,,,,,
2541,Hannity Staff,,,,,
2542,Hannity Staff,,,,,
2543,Hannity Staff,,,,,
2544,Hannity Staff,,,,,
2545,Hannity Staff,,,,,
2546,Hannity Staff,,,,,
2547,Hannity Staff,,,,,
2548,Hannity Staff,,,,,
2549,Hannity Staff,,,,,
2550,Hannity Staff,,,,,
2551,Hannity Staff,,,,,
2552,Hannity Staff,,,,,
2553,Hannity Staff,,,,,
2554,Hannity Staff,,,,,
2555,Hannity Staff,,,,,
2556,Hannity Staff,,,,,
2557,Hannity Staff,,,,,
2558,Hannity Staff,,,,,
2559,Hannity Staff,,,,,
2560,Hannity Staff,,,,,
2561,Hannity Staff,,,,,
2562,Hannity Staff,,,,,
2563,Hannity Staff,,,,,
2564,Hannity Staff,,,,,
2565,Hannity Staff,,,,,
2566,Hannity Staff,,,,,
2567,Hannity Staff,,,,,
2568,Hannity Staff,,,,,
2569,Hannity Staff,,,,,
2570,Hannity Staff,,,,,
2571,Hannity Staff,,,,,
2572,Hannity Staff,,,,,
2573,Hannity Staff,,,,,
2574,Hannity Staff,,,,,
2575,Hannity Staff,,,,,
2576,Hannity Staff,,,,,
2577,Hannity Staff,,,,,
2578,Hannity Staff,,,,,
2579,Hannity Staff,,,,,
2580,Hannity Staff,,,,,
2581,Hannity Staff,,,,,
2582,Hannity Staff,,,,,
2583,Hannity Staff,,,,,
2584,Hannity Staff,,,,,
2585,Hannity Staff,,,,,
2586,Hannity Staff,,,,,
2587,Hannity Staff,,,,,
2588,Hannity Staff,,,,,
2589,Hannity Staff,,,,,
2590,Hannity Staff,,,,,
2591,Hannity Staff,,,,,
2592,Hannity Staff,,,,,
2593,Hannity Staff,,,,,
2594,Hannity Staff,,,,,
2595,Hannity Staff,,,,,
2596,Hannity Staff,,,,,
2597,Hannity Staff,,,,,
2598,Hannity Staff,,,,,
2599,Hannity Staff,,,,,
2600,Hannity Staff,,,,,
2601,Hannity Staff,,,,,
2602,Hannity Staff,,,,,
2603,Hannity Staff,,,,,
2604,Hannity Staff,,,,,
2605,Hannity Staff,,,,,
2606,Hannity Staff,,,,,
2607,Hannity Staff,,,,,
2608,Hannity Staff,,,,,
2609,Hannity Staff,,,,,
2610,Hannity Staff,,,,,
2611,Hannity Staff,,,,,
2612,Hannity Staff,,,,,
2613,Hannity Staff,,,,,
2614,Hannity Staff,,,,,
2615,Hannity Staff,,,,,
2616,Hannity Staff,,,,,
2617,Hannity Staff,,,,,
2618,Hannity Staff,,,,,
2619,Hannity Staff,,,,,
2620,Hannity Staff,,,,,
2621,Hannity Staff,,,,,
2622,Hannity Staff,,,,,
2623,Hannity Staff,,,,,
2624,Hannity Staff,,,,,
2625,Hannity Staff,,,,,
2626,Hannity Staff,,,,,
2627,Hannity Staff,,,,,
2628,Hannity Staff,,,,,
2629,Hannity Staff,,,,,
2630,Hannity Staff,,,,,
2631,Hannity Staff,,,,,
2632,Hannity Staff,,,,,
2633,Hannity Staff,,,,,
2634,Hannity Staff,,,,,
2635,Hannity Staff,,,,,
2636,Hannity Staff,,,,,
2637,Hannity Staff,,,,,
2638,Hannity Staff,,,,,
2639,Hannity Staff,,,,,
2640,Hannity Staff,,,,,
2641,Hannity Staff,,,,,
2642,Hannity Staff,,,,,
2643,Hannity Staff,,,,,
2644,Hannity Staff,,,,,
2645,Hannity Staff,,,,,
2646,Hannity Staff,,,,,
2647,Hannity Staff,,,,,
2648,Hannity Staff,,,,,
2649,Hannity Staff,,,,,
2650,Hannity Staff,,,,,
2651,Hannity Staff,,,,,
2652,Hannity Staff,,,,,
2653,Hannity Staff,,,,,
2654,Hannity Staff,,,,,
2655,Hannity Staff,,,,,
2656,Hannity Staff,,,,,
2657,Hannity Staff,,,,,
2658,Hannity Staff,,,,,
2659,Hannity Staff,,,,,
2660,Hannity Staff,,,,,
2661,Hannity Staff,,,,,
2662,Hannity Staff,,,,,
2663,Hannity Staff,,,,,
2664,Hannity Staff,,,,,
2665,Hannity Staff,,,,,
2666,Hannity Staff,,,,,
2667,Hannity Staff,,,,,
2668,Hannity Staff,,,,,
2980,Axios,5.0,ORG,0.9999938011169434,0.0,Axios
3021,Washington Examiner,19.0,ORG,0.9999918937683105,0.0,Washington Examiner
3241,Washington Examiner,19.0,ORG,0.9999918937683105,0.0,Washington Examiner
3270,Washington Examiner,19.0,ORG,0.9999918937683105,0.0,Washington Examiner
3271,Washington Examiner,19.0,ORG,0.9999918937683105,0.0,Washington Examiner
3275,Washington Examiner,19.0,ORG,0.9999918937683105,0.0,Washington Examiner
3295,Washington Examiner,19.0,ORG,0.9999918937683105,0.0,Washington Examiner
