id,title,end,entity_group,score,start,word
0,Texas Gov. Greg Abbott tours southern border,5.0,LOC,0.999991774559021,0.0,Texas
0,Texas Gov. Greg Abbott tours southern border,22.0,PER,0.9999927282333374,11.0,Greg Abbott
1,Rep. McCarthy leads delegation of GOP reps. to southern border,13.0,PER,0.9999836087226868,5.0,McCarthy
1,Rep. McCarthy leads delegation of GOP reps. to southern border,37.0,ORG,0.9999779462814331,34.0,GOP
2,European officials aiding Ukrainian refugees targeted with malware -researchers,8.0,MISC,0.9999873638153076,0.0,European
2,European officials aiding Ukrainian refugees targeted with malware -researchers,35.0,MISC,0.9997762441635132,26.0,Ukrainian
3,"Secy. of State Blinken defends end to Title 42, despite border experts warning ‘mass migration event’",4.0,ORG,0.9637150764465332,0.0,Secy
3,"Secy. of State Blinken defends end to Title 42, despite border experts warning ‘mass migration event’",14.0,ORG,0.990347683429718,6.0,of State
3,"Secy. of State Blinken defends end to Title 42, despite border experts warning ‘mass migration event’",22.0,PER,0.9982068538665771,15.0,Blinken
3,"Secy. of State Blinken defends end to Title 42, despite border experts warning ‘mass migration event’",46.0,MISC,0.9999727010726929,38.0,Title 42
4,DHS giving free smartphones to illegal immigrants,3.0,ORG,0.9999920725822449,0.0,DHS
6,Largest migrant caravan from southern Mexico en route to border,44.0,LOC,0.9999982118606567,38.0,Mexico
7,Anti-migrant vigilante group Dudula stokes tensions in South Africa,35.0,ORG,0.9999334216117859,29.0,Dudula
7,Anti-migrant vigilante group Dudula stokes tensions in South Africa,67.0,LOC,0.999998152256012,55.0,South Africa
8,DHS Secy. Mayorkas testifies about plans after repeal of Title 42,3.0,ORG,0.7721849679946899,0.0,DHS
8,DHS Secy. Mayorkas testifies about plans after repeal of Title 42,8.0,PER,0.9995582103729248,4.0,Secy
8,DHS Secy. Mayorkas testifies about plans after repeal of Title 42,18.0,PER,0.9999279379844666,10.0,Mayorkas
8,DHS Secy. Mayorkas testifies about plans after repeal of Title 42,65.0,MISC,0.9999490976333618,57.0,Title 42
9,Ariz. Border Patrol agents report increased migrant activity,4.0,LOC,0.9999257922172546,0.0,Ariz
9,Ariz. Border Patrol agents report increased migrant activity,18.0,ORG,0.5409278869628906,13.0,Patro
