news_outlet,political_orientation
breitbart_news,right
blaze,right
one_america_news_network,right
newsmax,right
cbn,right
daily_caller,right
daily_wire,right
fox_news,right
federalist,right
nypost,right
american_conservative,right
reason,right
hannity,right
ijr,right
deseret_news,right
washington_examiner,center
ap,center
axios,center
newsweek,center
real_clear_politics,center
hill,center
abc_news,center
nbc_news,center
politico,center
insider,center
pro_publica,center
los_angeles_times,center
buzzfeednews,left
cnn,left
democracy_now,left
huffpost,left
intercept,left
mother_jones,left
msnbc,left
slate,left
vox,left
vice,left
consortium_news,left
gray_zone,left
mint_press_news,left
reveal_news,left
truthout,left
current_affairs,left
real_news_network,left
raw_story,left
daily_kos,left
