id,sentiment_label
0,Neutral
1,Neutral
2,Negative
3,Negative
4,Neutral
5,Neutral
6,Neutral
7,Negative
8,Neutral
9,Neutral
10,Neutral
11,Neutral
12,Neutral
13,Neutral
14,Neutral
15,Neutral
16,Neutral
17,Negative
18,Neutral
19,Neutral
20,Neutral
21,Neutral
22,Negative
24,Neutral
25,Negative
26,Negative
27,Negative
28,Negative
29,Negative
30,Negative
31,Negative
32,Negative
33,Negative
34,Negative
35,Negative
36,Negative
37,Negative
39,Negative
40,Negative
41,Negative
42,Negative
43,Negative
44,Neutral
45,Negative
46,Negative
47,Negative
48,Negative
49,Negative
50,Negative
51,Neutral
52,Negative
53,Negative
54,Negative
55,Neutral
56,Negative
57,Negative
58,Negative
59,Negative
60,Negative
61,Negative
62,Negative
63,Neutral
64,Neutral
65,Negative
66,Negative
67,Negative
68,Negative
69,Negative
70,Neutral
71,Positive
72,Negative
73,Negative
74,Neutral
75,Negative
76,Negative
77,Negative
78,Negative
79,Negative
80,Negative
81,Negative
82,Negative
83,Neutral
84,Neutral
85,Negative
86,Negative
87,Negative
88,Negative
89,Neutral
90,Negative
91,Negative
92,Negative
93,Negative
94,Negative
95,Neutral
96,Negative
97,Neutral
98,Negative
99,Neutral
100,Negative
101,Negative
102,Negative
103,Negative
104,Negative
105,Neutral
106,Negative
107,Negative
108,Negative
109,Neutral
110,Negative
111,Negative
112,Negative
113,Neutral
114,Neutral
115,Neutral
116,Neutral
117,Negative
118,Negative
119,Negative
120,Negative
121,Positive
122,Neutral
123,Negative
124,Negative
125,Negative
127,Negative
128,Neutral
129,Negative
130,Neutral
131,Negative
132,Neutral
133,Negative
134,Neutral
135,Negative
136,Negative
137,Negative
138,Negative
139,Negative
140,Negative
141,Neutral
142,Neutral
143,Negative
144,Neutral
145,Negative
146,Negative
147,Negative
148,Neutral
149,Negative
150,Negative
151,Negative
152,Negative
153,Neutral
154,Neutral
155,Negative
156,Negative
157,Neutral
158,Negative
159,Neutral
160,Neutral
161,Negative
162,Neutral
163,Negative
164,Negative
165,Negative
166,Negative
167,Neutral
168,Negative
169,Negative
170,Neutral
171,Negative
172,Neutral
173,Negative
174,Neutral
175,Negative
176,Neutral
177,Negative
178,Neutral
179,Negative
180,Neutral
181,Negative
182,Negative
183,Negative
184,Neutral
185,Negative
186,Neutral
187,Negative
188,Negative
189,Negative
190,Negative
191,Negative
192,Positive
193,Negative
194,Negative
195,Negative
196,Negative
197,Negative
198,Neutral
199,Negative
200,Neutral
201,Negative
202,Negative
203,Neutral
204,Negative
205,Negative
206,Negative
207,Negative
208,Negative
209,Positive
210,Neutral
211,Negative
212,Negative
213,Negative
214,Neutral
215,Neutral
216,Negative
217,Negative
218,Neutral
219,Negative
220,Neutral
221,Neutral
222,Negative
223,Negative
224,Negative
225,Negative
226,Neutral
227,Neutral
228,Negative
229,Negative
230,Negative
231,Neutral
232,Neutral
233,Neutral
234,Negative
235,Negative
236,Negative
237,Negative
238,Negative
239,Negative
240,Negative
241,Negative
242,Neutral
243,Neutral
244,Negative
245,Neutral
246,Negative
247,Neutral
248,Neutral
249,Negative
250,Neutral
251,Neutral
252,Neutral
253,Negative
254,Negative
255,Negative
256,Negative
257,Neutral
258,Negative
259,Neutral
260,Positive
261,Neutral
262,Negative
263,Negative
264,Neutral
265,Neutral
266,Negative
267,Negative
268,Negative
269,Neutral
270,Negative
271,Neutral
272,Neutral
273,Neutral
274,Negative
275,Negative
276,Neutral
277,Negative
278,Neutral
279,Neutral
280,Negative
281,Neutral
282,Negative
283,Negative
284,Negative
285,Neutral
286,Negative
287,Negative
288,Negative
289,Neutral
290,Neutral
291,Negative
292,Negative
293,Negative
294,Negative
295,Negative
296,Negative
297,Negative
298,Negative
299,Negative
300,Neutral
301,Negative
302,Negative
303,Negative
304,Negative
305,Negative
306,Negative
307,Negative
308,Negative
309,Neutral
310,Negative
311,Negative
312,Neutral
313,Negative
314,Neutral
315,Negative
316,Negative
317,Negative
318,Negative
319,Neutral
320,Negative
321,Negative
322,Neutral
323,Neutral
324,Negative
325,Negative
326,Negative
327,Neutral
328,Negative
329,Negative
330,Negative
331,Neutral
332,Negative
333,Neutral
334,Neutral
335,Negative
336,Negative
337,Neutral
338,Negative
339,Negative
340,Neutral
341,Negative
342,Negative
343,Neutral
344,Negative
345,Negative
346,Neutral
347,Neutral
348,Negative
349,Neutral
350,Negative
351,Negative
352,Neutral
353,Neutral
354,Negative
355,Negative
356,Negative
357,Neutral
358,Neutral
359,Neutral
360,Negative
361,Negative
362,Negative
363,Negative
364,Negative
365,Negative
366,Negative
367,Negative
368,Neutral
369,Negative
370,Negative
371,Negative
372,Neutral
373,Negative
374,Neutral
375,Negative
376,Negative
377,Negative
378,Negative
379,Negative
380,Negative
381,Neutral
382,Negative
383,Negative
384,Negative
385,Negative
386,Negative
387,Negative
388,Negative
389,Negative
390,Negative
391,Negative
392,Negative
393,Neutral
394,Neutral
395,Neutral
396,Negative
397,Negative
398,Negative
399,Neutral
400,Neutral
401,Negative
402,Negative
403,Neutral
404,Neutral
405,Negative
406,Neutral
407,Neutral
408,Negative
409,Negative
410,Negative
411,Negative
412,Neutral
413,Neutral
414,Negative
415,Negative
416,Negative
417,Negative
418,Negative
419,Negative
420,Neutral
421,Positive
422,Neutral
423,Neutral
424,Neutral
425,Negative
426,Negative
427,Neutral
428,Negative
429,Negative
430,Negative
431,Negative
432,Neutral
433,Neutral
434,Negative
435,Neutral
436,Neutral
437,Negative
438,Negative
439,Neutral
440,Positive
441,Negative
442,Negative
443,Neutral
444,Negative
445,Negative
446,Negative
447,Negative
448,Negative
449,Neutral
450,Positive
451,Negative
452,Negative
453,Neutral
454,Negative
455,Negative
456,Negative
457,Negative
458,Negative
459,Negative
460,Negative
461,Neutral
462,Neutral
463,Neutral
464,Negative
465,Negative
466,Negative
467,Negative
468,Negative
469,Neutral
470,Negative
471,Negative
472,Negative
473,Negative
474,Negative
