id,topic,topic_label
0,-1,border_said_biden_president
1,38,border_crisis_biden_administration
2,9,belarus_eu_poland_belarusian
3,3,title_title 42_42_border
4,-1,border_said_biden_president
5,12,migrants_antonio_san antonio_truck
6,27,caravan_migrants_mexico_tapachula
7,27,caravan_migrants_mexico_tapachula
8,17,mayorkas_border_dhs_security
9,-1,border_said_biden_president
10,0,ukraine_russian_said_ukrainian
11,-1,border_said_biden_president
12,3,title_title 42_42_border
13,1,afghanistan_afghans_afghan_taliban
14,22,border_agents_migrants_patrol
15,-1,border_said_biden_president
16,12,migrants_antonio_san antonio_truck
17,-1,border_said_biden_president
18,17,mayorkas_border_dhs_security
19,21,abbott_texas_border_migrants
20,-1,border_said_biden_president
21,3,title_title 42_42_border
22,-1,border_said_biden_president
24,4,asylum_mexico_court_policy
25,35,border_migrants_cbp_number
26,21,abbott_texas_border_migrants
27,35,border_migrants_cbp_number
28,10,rio_del_del rio_migrants
29,3,title_title 42_42_border
30,2,children_border_unaccompanied_hhs
31,-1,border_said_biden_president
32,13,harris_border_president_vice
33,15,agents_patrol_border patrol_border
34,1,afghanistan_afghans_afghan_taliban
35,-1,border_said_biden_president
36,3,title_title 42_42_border
37,13,harris_border_president_vice
39,-1,border_said_biden_president
40,22,border_agents_migrants_patrol
41,-1,border_said_biden_president
42,3,title_title 42_42_border
43,-1,border_said_biden_president
44,35,border_migrants_cbp_number
45,2,children_border_unaccompanied_hhs
46,21,abbott_texas_border_migrants
47,-1,border_said_biden_president
48,-1,border_said_biden_president
49,-1,border_said_biden_president
50,-1,border_said_biden_president
51,1,afghanistan_afghans_afghan_taliban
52,-1,border_said_biden_president
53,-1,border_said_biden_president
54,-1,border_said_biden_president
55,-1,border_said_biden_president
56,21,abbott_texas_border_migrants
57,12,migrants_antonio_san antonio_truck
58,31,djokovic_australian_australia_tennis
59,-1,border_said_biden_president
60,-1,border_said_biden_president
61,24,ice_aliens_enforcement_illegal
62,-1,border_said_biden_president
63,35,border_migrants_cbp_number
64,-1,border_said_biden_president
65,-1,border_said_biden_president
66,-1,border_said_biden_president
67,-1,border_said_biden_president
68,-1,border_said_biden_president
69,-1,border_said_biden_president
70,24,ice_aliens_enforcement_illegal
71,-1,border_said_biden_president
72,-1,border_said_biden_president
73,10,rio_del_del rio_migrants
74,-1,border_said_biden_president
75,-1,border_said_biden_president
76,-1,border_said_biden_president
77,-1,border_said_biden_president
78,-1,border_said_biden_president
79,15,agents_patrol_border patrol_border
80,4,asylum_mexico_court_policy
81,9,belarus_eu_poland_belarusian
82,3,title_title 42_42_border
83,1,afghanistan_afghans_afghan_taliban
84,10,rio_del_del rio_migrants
85,-1,border_said_biden_president
86,-1,border_said_biden_president
87,-1,border_said_biden_president
88,-1,border_said_biden_president
89,0,ukraine_russian_said_ukrainian
90,4,asylum_mexico_court_policy
91,6,new_vaccine_said_health
92,-1,border_said_biden_president
93,-1,border_said_biden_president
94,2,children_border_unaccompanied_hhs
95,-1,border_said_biden_president
96,35,border_migrants_cbp_number
97,2,children_border_unaccompanied_hhs
98,-1,border_said_biden_president
99,3,title_title 42_42_border
100,-1,border_said_biden_president
101,3,title_title 42_42_border
102,-1,border_said_biden_president
103,38,border_crisis_biden_administration
104,-1,border_said_biden_president
105,3,title_title 42_42_border
106,-1,border_said_biden_president
107,-1,border_said_biden_president
108,-1,border_said_biden_president
109,18,texas_migrants_covid19_border
110,-1,border_said_biden_president
111,-1,border_said_biden_president
112,-1,border_said_biden_president
113,20,percent_voters_poll_immigration
114,35,border_migrants_cbp_number
115,14,wall_border_border wall_construction
116,-1,border_said_biden_president
117,-1,border_said_biden_president
118,-1,border_said_biden_president
119,-1,border_said_biden_president
120,11,daca_citizenship_immigration_immigrants
121,-1,border_said_biden_president
122,2,children_border_unaccompanied_hhs
123,22,border_agents_migrants_patrol
124,19,refugee_refugees_cap_resettlement
125,-1,border_said_biden_president
127,-1,border_said_biden_president
128,4,asylum_mexico_court_policy
129,-1,border_said_biden_president
130,7,democrats_senate_house_republicans
131,-1,border_said_biden_president
132,-1,border_said_biden_president
133,-1,border_said_biden_president
134,-1,border_said_biden_president
135,-1,border_said_biden_president
136,-1,border_said_biden_president
137,12,migrants_antonio_san antonio_truck
138,17,mayorkas_border_dhs_security
139,-1,border_said_biden_president
140,-1,border_said_biden_president
141,15,agents_patrol_border patrol_border
142,-1,border_said_biden_president
143,-1,border_said_biden_president
144,6,new_vaccine_said_health
145,3,title_title 42_42_border
146,27,caravan_migrants_mexico_tapachula
147,-1,border_said_biden_president
148,-1,border_said_biden_president
149,2,children_border_unaccompanied_hhs
150,-1,border_said_biden_president
151,-1,border_said_biden_president
152,-1,border_said_biden_president
153,2,children_border_unaccompanied_hhs
154,-1,border_said_biden_president
155,-1,border_said_biden_president
156,3,title_title 42_42_border
157,4,asylum_mexico_court_policy
158,-1,border_said_biden_president
159,18,texas_migrants_covid19_border
160,10,rio_del_del rio_migrants
161,-1,border_said_biden_president
162,-1,border_said_biden_president
163,-1,border_said_biden_president
164,1,afghanistan_afghans_afghan_taliban
165,-1,border_said_biden_president
166,1,afghanistan_afghans_afghan_taliban
167,-1,border_said_biden_president
168,38,border_crisis_biden_administration
169,1,afghanistan_afghans_afghan_taliban
170,1,afghanistan_afghans_afghan_taliban
171,-1,border_said_biden_president
172,-1,border_said_biden_president
173,-1,border_said_biden_president
174,-1,border_said_biden_president
175,-1,border_said_biden_president
176,27,caravan_migrants_mexico_tapachula
177,29,biden_border_immigration_administration
178,0,ukraine_russian_said_ukrainian
179,-1,border_said_biden_president
180,-1,border_said_biden_president
181,21,abbott_texas_border_migrants
182,-1,border_said_biden_president
183,35,border_migrants_cbp_number
184,37,texas_deportations_immigration_moratorium
185,0,ukraine_russian_said_ukrainian
186,-1,border_said_biden_president
187,15,agents_patrol_border patrol_border
188,-1,border_said_biden_president
189,-1,border_said_biden_president
190,8,uk_channel_british_migrants
191,23,white_carlson_replacement_theory
192,7,democrats_senate_house_republicans
193,2,children_border_unaccompanied_hhs
194,-1,border_said_biden_president
195,-1,border_said_biden_president
196,-1,border_said_biden_president
197,-1,border_said_biden_president
198,0,ukraine_russian_said_ukrainian
199,14,wall_border_border wall_construction
200,2,children_border_unaccompanied_hhs
201,14,wall_border_border wall_construction
202,-1,border_said_biden_president
203,35,border_migrants_cbp_number
204,-1,border_said_biden_president
205,3,title_title 42_42_border
206,5,asian_american_chinese_like
207,-1,border_said_biden_president
208,-1,border_said_biden_president
209,25,separated_families_children_parents
210,-1,border_said_biden_president
211,12,migrants_antonio_san antonio_truck
212,1,afghanistan_afghans_afghan_taliban
213,13,harris_border_president_vice
214,18,texas_migrants_covid19_border
215,-1,border_said_biden_president
216,14,wall_border_border wall_construction
217,29,biden_border_immigration_administration
218,4,asylum_mexico_court_policy
219,-1,border_said_biden_president
220,12,migrants_antonio_san antonio_truck
221,3,title_title 42_42_border
222,-1,border_said_biden_president
223,3,title_title 42_42_border
224,-1,border_said_biden_president
225,-1,border_said_biden_president
226,17,mayorkas_border_dhs_security
227,2,children_border_unaccompanied_hhs
228,23,white_carlson_replacement_theory
229,17,mayorkas_border_dhs_security
230,18,texas_migrants_covid19_border
231,-1,border_said_biden_president
232,4,asylum_mexico_court_policy
233,22,border_agents_migrants_patrol
234,3,title_title 42_42_border
235,28,recall_california_newsom_elder
236,22,border_agents_migrants_patrol
237,38,border_crisis_biden_administration
238,10,rio_del_del rio_migrants
239,-1,border_said_biden_president
240,-1,border_said_biden_president
241,22,border_agents_migrants_patrol
242,4,asylum_mexico_court_policy
243,-1,border_said_biden_president
244,2,children_border_unaccompanied_hhs
245,18,texas_migrants_covid19_border
246,18,texas_migrants_covid19_border
247,3,title_title 42_42_border
248,20,percent_voters_poll_immigration
249,-1,border_said_biden_president
250,-1,border_said_biden_president
251,2,children_border_unaccompanied_hhs
252,22,border_agents_migrants_patrol
253,24,ice_aliens_enforcement_illegal
254,2,children_border_unaccompanied_hhs
255,17,mayorkas_border_dhs_security
256,29,biden_border_immigration_administration
257,11,daca_citizenship_immigration_immigrants
258,-1,border_said_biden_president
259,-1,border_said_biden_president
260,-1,border_said_biden_president
261,2,children_border_unaccompanied_hhs
262,23,white_carlson_replacement_theory
263,-1,border_said_biden_president
264,11,daca_citizenship_immigration_immigrants
265,-1,border_said_biden_president
266,-1,border_said_biden_president
267,2,children_border_unaccompanied_hhs
268,2,children_border_unaccompanied_hhs
269,3,title_title 42_42_border
270,3,title_title 42_42_border
271,1,afghanistan_afghans_afghan_taliban
272,14,wall_border_border wall_construction
273,-1,border_said_biden_president
274,-1,border_said_biden_president
275,1,afghanistan_afghans_afghan_taliban
276,22,border_agents_migrants_patrol
277,-1,border_said_biden_president
278,-1,border_said_biden_president
279,1,afghanistan_afghans_afghan_taliban
280,17,mayorkas_border_dhs_security
281,2,children_border_unaccompanied_hhs
282,4,asylum_mexico_court_policy
283,-1,border_said_biden_president
284,2,children_border_unaccompanied_hhs
285,3,title_title 42_42_border
286,22,border_agents_migrants_patrol
287,1,afghanistan_afghans_afghan_taliban
288,23,white_carlson_replacement_theory
289,-1,border_said_biden_president
290,35,border_migrants_cbp_number
291,-1,border_said_biden_president
292,-1,border_said_biden_president
293,-1,border_said_biden_president
294,3,title_title 42_42_border
295,-1,border_said_biden_president
296,9,belarus_eu_poland_belarusian
297,13,harris_border_president_vice
298,-1,border_said_biden_president
299,-1,border_said_biden_president
300,4,asylum_mexico_court_policy
301,14,wall_border_border wall_construction
302,24,ice_aliens_enforcement_illegal
303,-1,border_said_biden_president
304,27,caravan_migrants_mexico_tapachula
305,22,border_agents_migrants_patrol
306,2,children_border_unaccompanied_hhs
307,-1,border_said_biden_president
308,-1,border_said_biden_president
309,-1,border_said_biden_president
310,-1,border_said_biden_president
311,-1,border_said_biden_president
312,-1,border_said_biden_president
313,12,migrants_antonio_san antonio_truck
314,-1,border_said_biden_president
315,37,texas_deportations_immigration_moratorium
316,-1,border_said_biden_president
317,-1,border_said_biden_president
318,1,afghanistan_afghans_afghan_taliban
319,3,title_title 42_42_border
320,-1,border_said_biden_president
321,-1,border_said_biden_president
322,-1,border_said_biden_president
323,-1,border_said_biden_president
324,4,asylum_mexico_court_policy
325,-1,border_said_biden_president
326,3,title_title 42_42_border
327,-1,border_said_biden_president
328,-1,border_said_biden_president
329,-1,border_said_biden_president
330,-1,border_said_biden_president
331,6,new_vaccine_said_health
332,37,texas_deportations_immigration_moratorium
333,-1,border_said_biden_president
334,4,asylum_mexico_court_policy
335,-1,border_said_biden_president
336,3,title_title 42_42_border
337,2,children_border_unaccompanied_hhs
338,2,children_border_unaccompanied_hhs
339,-1,border_said_biden_president
340,-1,border_said_biden_president
341,-1,border_said_biden_president
342,-1,border_said_biden_president
343,-1,border_said_biden_president
344,-1,border_said_biden_president
345,3,title_title 42_42_border
346,35,border_migrants_cbp_number
347,-1,border_said_biden_president
348,-1,border_said_biden_president
349,7,democrats_senate_house_republicans
350,-1,border_said_biden_president
351,-1,border_said_biden_president
352,1,afghanistan_afghans_afghan_taliban
353,29,biden_border_immigration_administration
354,22,border_agents_migrants_patrol
355,-1,border_said_biden_president
356,3,title_title 42_42_border
357,-1,border_said_biden_president
358,-1,border_said_biden_president
359,-1,border_said_biden_president
360,-1,border_said_biden_president
361,-1,border_said_biden_president
362,15,agents_patrol_border patrol_border
363,15,agents_patrol_border patrol_border
364,4,asylum_mexico_court_policy
365,17,mayorkas_border_dhs_security
366,-1,border_said_biden_president
367,-1,border_said_biden_president
368,-1,border_said_biden_president
369,38,border_crisis_biden_administration
370,-1,border_said_biden_president
371,4,asylum_mexico_court_policy
372,-1,border_said_biden_president
373,1,afghanistan_afghans_afghan_taliban
374,-1,border_said_biden_president
375,-1,border_said_biden_president
376,30,democrats_reconciliation_senate_parliamentarian
377,-1,border_said_biden_president
378,-1,border_said_biden_president
379,-1,border_said_biden_president
380,20,percent_voters_poll_immigration
381,-1,border_said_biden_president
382,15,agents_patrol_border patrol_border
383,-1,border_said_biden_president
384,-1,border_said_biden_president
385,1,afghanistan_afghans_afghan_taliban
386,3,title_title 42_42_border
387,-1,border_said_biden_president
388,-1,border_said_biden_president
389,-1,border_said_biden_president
390,-1,border_said_biden_president
391,15,agents_patrol_border patrol_border
392,3,title_title 42_42_border
393,-1,border_said_biden_president
394,21,abbott_texas_border_migrants
395,-1,border_said_biden_president
396,-1,border_said_biden_president
397,13,harris_border_president_vice
398,29,biden_border_immigration_administration
399,-1,border_said_biden_president
400,-1,border_said_biden_president
401,-1,border_said_biden_president
402,-1,border_said_biden_president
403,-1,border_said_biden_president
404,1,afghanistan_afghans_afghan_taliban
405,-1,border_said_biden_president
406,21,abbott_texas_border_migrants
407,14,wall_border_border wall_construction
408,-1,border_said_biden_president
409,2,children_border_unaccompanied_hhs
410,-1,border_said_biden_president
411,18,texas_migrants_covid19_border
412,25,separated_families_children_parents
413,24,ice_aliens_enforcement_illegal
414,-1,border_said_biden_president
415,-1,border_said_biden_president
416,15,agents_patrol_border patrol_border
417,-1,border_said_biden_president
418,10,rio_del_del rio_migrants
419,-1,border_said_biden_president
420,3,title_title 42_42_border
421,-1,border_said_biden_president
422,-1,border_said_biden_president
423,3,title_title 42_42_border
424,-1,border_said_biden_president
425,-1,border_said_biden_president
426,29,biden_border_immigration_administration
427,-1,border_said_biden_president
428,-1,border_said_biden_president
429,-1,border_said_biden_president
430,-1,border_said_biden_president
431,-1,border_said_biden_president
432,3,title_title 42_42_border
433,4,asylum_mexico_court_policy
434,22,border_agents_migrants_patrol
435,0,ukraine_russian_said_ukrainian
436,2,children_border_unaccompanied_hhs
437,18,texas_migrants_covid19_border
438,3,title_title 42_42_border
439,15,agents_patrol_border patrol_border
440,7,democrats_senate_house_republicans
441,-1,border_said_biden_president
442,-1,border_said_biden_president
443,-1,border_said_biden_president
444,-1,border_said_biden_president
445,14,wall_border_border wall_construction
446,-1,border_said_biden_president
447,-1,border_said_biden_president
448,29,biden_border_immigration_administration
449,2,children_border_unaccompanied_hhs
450,13,harris_border_president_vice
451,35,border_migrants_cbp_number
452,-1,border_said_biden_president
453,-1,border_said_biden_president
454,2,children_border_unaccompanied_hhs
455,21,abbott_texas_border_migrants
456,29,biden_border_immigration_administration
457,3,title_title 42_42_border
458,-1,border_said_biden_president
459,-1,border_said_biden_president
460,-1,border_said_biden_president
461,21,abbott_texas_border_migrants
462,2,children_border_unaccompanied_hhs
463,25,separated_families_children_parents
464,-1,border_said_biden_president
465,4,asylum_mexico_court_policy
466,10,rio_del_del rio_migrants
467,-1,border_said_biden_president
468,-1,border_said_biden_president
469,-1,border_said_biden_president
470,-1,border_said_biden_president
471,-1,border_said_biden_president
472,2,children_border_unaccompanied_hhs
473,12,migrants_antonio_san antonio_truck
474,-1,border_said_biden_president
475,2,children_border_unaccompanied_hhs
476,10,rio_del_del rio_migrants
477,-1,border_said_biden_president
478,-1,border_said_biden_president
479,-1,border_said_biden_president
480,21,abbott_texas_border_migrants
481,-1,border_said_biden_president
