uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	CDU	SPD	GRU	FDP	LIN	AFD	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U3233	0	27	3	0	0	2	0	2	3	2	2	2	2	2	3	6	6	3	2	6	4	4	5	5	5	3	3	5	3	5	3	5	1	1	1	3	1	1	1	4	3	4	1	2	1	3	4	5	1	1	2	1	2	3	1	3	5	1	1	3	1	1	1	3	3	4	4	5	5	0	7	38	20	25	0	3	4	5	5	4	5	3	3	3	6	3	50.0	7	5
U972	1	23	4	0	0	0	3	6	7	7	4	6	5	6	7	6	1	5	6	1	3	4	5	2	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	7	7	1	4	1	1	6	1	1	1	1	1	1	1	1	1	1	1	6	5	5	5	81	55	45	72	41	0	7	4	3	5	3	2	2	2	3	7	4	100.0	1	1
U3066	1	34	3	0	0	0	1	6	6	7	5	7	6	6	6	5	3	4	7	1	3	4	3	4	3	4	6	3	4	4	4	4	2	2	2	2	2	1	2	4	6	2	3	3	2	2	7	5	7	1	1	1	1	1	1	3	5	1	5	4	3	2	3	6	4	4	5	6	5	100	79	10	14	8	0	6	3	4	6	4	3	4	2	3	6	3	50.0	2	2
U3089	1	68	1	0	0	2	6	3	3	3	3	3	3	3	3	5	5	5	6	5	2	5	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	1	3	6	4	6	6	1	6	5	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	58	82	59	65	0	0	2	2	3	3	2	4	2	4	4	7	6	0.0	1	1
U1755	0	18	3	0	0	0	2	7	7	7	4	4	5	7	7	3	5	3	5	1	5	4	6	1	6	2	2	5	1	7	3	5	1	1	1	4	1	1	1	6	3	6	1	3	6	1	1	1	1	1	1	5	1	4	1	1	1	1	1	1	1	1	1	5	4	4	7	3	5	50	50	50	50	50	50	6	5	5	6	2	2	3	4	1	4	5	50.0	6	4
U723	0	53	4	0	0	0	3	4	6	6	4	5	7	6	5	4	5	3	4	4	5	6	6	4	4	5	6	1	5	5	5	7	7	2	7	7	7	5	7	1	1	1	1	4	1	1	6	5	4	5	6	5	4	5	6	5	4	6	5	5	4	6	5	4	6	5	5	5	4	85	45	40	36	30	25	6	6	3	5	4	5	6	5	4	1	1	0.0	1	1
U1091	1	32	4	0	0	0	4	7	7	7	7	7	7	7	7	5	3	2	2	1	7	4	7	1	7	1	3	7	1	7	1	6	2	1	2	2	1	6	5	6	7	7	6	6	5	7	7	6	7	6	7	6	7	6	5	6	6	7	5	5	7	5	4	3	3	3	2	1	5	88	30	23	24	19	24	2	6	6	7	6	5	6	6	6	6	5	30.0	5	6
U12	1	32	4	0	0	0	5	6	6	6	6	6	6	6	6	7	1	1	7	1	7	1	6	7	7	1	1	7	1	7	1	7	1	6	1	6	1	4	5	6	6	4	7	7	4	6	6	5	6	5	6	5	6	5	4	4	6	6	6	4	6	6	5	4	7	5	6	6	5	86	21	31	35	40	45	2	6	6	4	6	5	6	5	5	5	7	3000.0	7	6
U756	1	35	3	0	0	0	5	7	7	7	7	7	7	7	7	4	7	1	7	1	7	7	3	4	7	1	1	7	1	7	1	7	1	1	1	1	1	1	4	7	7	7	7	7	7	1	7	6	6	7	7	6	5	6	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	100	100	100	100	100	100	6	7	6	7	6	7	7	7	7	7	7	1000.0	7	4
U4698	1	54	2	0	0	0	3	5	7	7	5	6	4	6	6	2	4	2	7	1	4	4	6	4	4	3	5	2	3	3	5	3	2	5	1	4	1	1	1	6	6	3	3	2	3	4	7	7	7	2	2	2	6	6	2	1	2	2	1	3	6	2	3	6	6	6	5	6	6	71	71	71	72	50	22	7	7	7	7	7	7	7	7	7	7	6	100.0	2	2
