10725	U3527	news_2499 news_5074 news_11627 news_7820 news_12198 news_9289	news_8855-0 news_2627-0 news_474-0 news_10237-0 news_2635-0 news_5432-1
11052	U3650	news_9618 news_4431 news_10134 news_9296 news_4229 news_473 news_5076 news_5523	news_3225-1 news_2718-0 news_5181-0 news_7733-0 news_9946-0 news_2791-0
2347	U695	news_9521	news_11907-0 news_550-0 news_2855-1 news_170-0 news_103-0
1751	U518	news_2584	news_9528-1 news_2177-0 news_7722-0 news_460-0 news_11339-0
14295	U4785	news_266 news_9816 news_3167 news_5104 news_566 news_3118 news_5334 news_284	news_12141-0 news_4968-0 news_5243-1 news_5201-0 news_8943-0
1906	U561	news_4678 news_4315 news_557 news_9320	news_5120-1 news_4478-0 news_4943-0 news_2627-0 news_4095-0 news_4992-0
9087	U2965	news_10240 news_54 news_3331 news_3276 news_3890	news_10088-1 news_2130-0 news_616-0 news_4461-0 news_2641-0 news_570-0
5210	U1577	news_4095 news_8750 news_7952 news_9553	news_2627-0 news_4943-0 news_6628-1 news_9898-0 news_12091-0 news_2445-0
12902	U4271		news_6304-1 news_9580-0 news_9788-0 news_12198-0 news_9909-0 news_9729-0
14011	U4682		news_2499-0 news_2646-0 news_2556-1 news_2339-0 news_2402-0 news_2405-0
3877	U1166	news_5493 news_3376 news_5144 news_3925 news_6569 news_11105 news_10233 news_475 news_3321	news_583-1 news_5291-0 news_3011-0 news_463-0 news_9618-0 news_3247-0
12403	U4111	news_12088 news_9517 news_6114 news_9646 news_472	news_4694-0 news_10979-0 news_5306-0 news_4508-0 news_4543-0 news_4973-1
12137	U4023	news_2999 news_9814 news_2789 news_2477 news_4705 news_9428 news_5443 news_127 news_3241	news_7406-0 news_4298-0 news_3654-1 news_9632-0 news_11614-0
1454	U429	news_3508 news_5619 news_11648 news_3806	news_14-0 news_4274-0 news_3931-1 news_786-0 news_2670-0
13130	U4350	news_5020 news_4078 news_11183 news_5140	news_2756-0 news_282-0 news_2659-0 news_2645-0 news_310-0 news_489-1
2363	U698	news_12072 news_12047 news_2373 news_426 news_9970 news_9868 news_7232 news_6303 news_3285	news_10953-1 news_4991-0 news_9632-0 news_2412-0 news_2499-0 news_4590-0
11410	U3776	news_5035 news_4619 news_7420 news_4192 news_735 news_9050 news_4997 news_10171	news_540-0 news_5502-0 news_4855-0 news_2608-0 news_3225-1 news_4120-0
4488	U1377	news_9792 news_9502 news_9762 news_11061 news_9339 news_2429 news_9014 news_202	news_4251-1 news_4725-0 news_2457-0 news_1216-0 news_12122-0 news_7960-0
12652	U4190	news_2580 news_5526 news_624 news_12043 news_10975 news_9992 news_11097 news_9263	news_2583-1 news_2423-0 news_2445-0 news_2550-0 news_9489-0 news_2635-0
13616	U4514	news_9819 news_5254 news_3458 news_3916 news_2622	news_2513-0 news_2574-0 news_9489-0 news_5328-1 news_2627-0 news_2657-0
3673	U1108	news_2669 news_9443 news_9120 news_9093 news_2287 news_3538 news_6331 news_2904	news_2649-1 news_2659-0 news_2429-0 news_2402-0 news_2555-0 news_2578-0
4008	U1206	news_7952 news_12213 news_10157	news_2872-1 news_12168-0 news_47-0 news_779-0 news_9752-0 news_11160-0
8057	U2578	news_4956 news_10223 news_416 news_5474 news_616 news_8902 news_7803 news_2826 news_3820	news_5480-0 news_4681-0 news_4310-0 news_5280-0
8972	U2913	news_4147 news_11952 news_5046 news_12128 news_11012 news_7801 news_4470	news_2339-1 news_2649-0 news_10134-0 news_6532-0 news_2445-0 news_2646-0
14798	U5081	news_4067 news_10025 news_10221 news_4134 news_9798 news_9229 news_9358 news_9326 news_256	news_5502-0 news_2608-0 news_3225-0 news_11639-0 news_2718-0 news_5181-1
7538	U2363	news_8822 news_434 news_3780 news_12062 news_5415 news_4662 news_4220 news_9979 news_9221 news_2855	news_5485-0 news_409-0 news_10975-0 news_12091-0 news_5500-0 news_9361-1
2046	U601	news_5328 news_4708	news_457-0 news_10078-0 news_5184-0 news_2627-0 news_679-0 news_2503-1
6395	U1935	news_2945 news_111 news_11178 news_2590 news_12051 news_4859 news_5217 news_4303	news_2394-0 news_2646-0 news_2503-0 news_2378-1 news_2445-0
12586	U4170	news_265 news_2466 news_5536 news_9837	news_764-1 news_9489-0 news_9839-0 news_6532-0 news_10971-0 news_10109-0
5251	U1589	news_743 news_4895 news_8902 news_9923	news_463-0 news_2503-0 news_2646-0 news_9889-0 news_7232-0 news_10996-1
7292	U2255	news_519 news_10073 news_4204 news_11934 news_11046 news_4483	news_10109-1 news_5415-0 news_5451-0 news_9740-0 news_11911-0 news_9752-0
10269	U3376	news_9194 news_4117 news_111 news_4935 news_169 news_10208 news_7808	news_798-0 news_8895-0 news_7901-0 news_9763-0 news_9394-0 news_5747-1
1991	U583	news_600 news_4773 news_3066 news_226 news_3752 news_11012 news_4737 news_9549	news_239-0
14829	U5092	news_782 news_3685 news_5082 news_9671 news_9120 news_9621	news_463-0 news_9958-1 news_5585-0 news_2591-0 news_510-0 news_9909-0
14556	U4941		news_6117-0 news_3594-0 news_10217-1 news_2453-0 news_9874-0
4374	U1344		news_4988-0 news_4639-1 news_4534-0 news_5057-0 news_4529-0 news_4134-0
4340	U1331	news_214 news_4153 news_303 news_4841 news_9740 news_9596 news_926 news_9839 news_696	news_44-0 news_4743-0 news_5512-0 news_4801-0 news_10002-0 news_4982-1
217	U59	news_577 news_4230 news_5086 news_3512 news_2645 news_4767 news_9625	news_9686-0 news_2902-0 news_10953-1 news_9502-0 news_3437-0
13275	U4398	news_9866 news_3411 news_10210 news_2904 news_5299	news_2627-0 news_9397-0 news_11160-0 news_110-1
9293	U3045	news_5415 news_4982 news_3073 news_4061 news_4065 news_9067 news_415 news_2728 news_448 news_4972	news_9834-0 news_779-0 news_310-1 news_2513-0 news_4274-0 news_2177-0
5836	U1773	news_2338	news_674-0 news_9943-0 news_699-1 news_12145-0 news_12075-0 news_2615-0
1006	U300		news_9173-1 news_11097-0 news_4771-0 news_9744-0 news_10010-0 news_11005-0
7025	U2147	news_10232 news_9053 news_5241	news_3276-0 news_7050-0 news_3776-0 news_2590-0 news_9801-0 news_3376-1
2104	U626	news_7724 news_2837 news_2726 news_2588 news_9769 news_5534 news_4644 news_5227 news_2937	news_9340-0 news_5349-0 news_4169-0 news_9946-1 news_5181-0 news_2718-0
14895	U5115	news_10950	news_3599-1 news_5143-0 news_373-0 news_12109-0
13001	U4314		news_7901-0 news_625-1 news_5334-0 news_10954-0 news_11533-0
6944	U2121		news_12168-0 news_9705-0 news_2405-1 news_6532-0 news_2592-0 news_10047-0
9732	U3195	news_284 news_3050 news_576 news_12033 news_4086 news_4743 news_5184	news_4876-1 news_5057-0 news_4347-0 news_4736-0 news_5038-0 news_4467-0
2991	U892	news_9641 news_9947 news_3506 news_9205 news_744 news_3651	news_9788-1 news_11917-0 news_9602-0 news_12091-0 news_2860-0 news_12122-0
11220	U3719	news_9459 news_4945 news_10037 news_6306 news_638	news_758-0 news_5141-0 news_5469-0 news_524-0 news_7733-1 news_10222-0
14428	U4850	news_5523	news_9340-0 news_4782-0 news_4169-0 news_3547-0 news_1266-0 news_11509-1
8375	U2701	news_11929 news_5399 news_4599 news_619 news_9723 news_9816 news_9068	news_406-0 news_2673-0 news_4134-1 news_3474-0 news_4962-0 news_8878-0
13524	U4476	news_4302 news_7824 news_10045 news_4436 news_11033 news_4970 news_4666 news_6844 news_4345	news_5090-0 news_9680-0 news_11967-1 news_5491-0 news_9841-0
561	U155	news_483 news_9326 news_4349 news_4911 news_9528	news_3740-0 news_3288-0 news_464-1 news_379-0 news_8758-0
10784	U3550	news_4475 news_2432 news_12008 news_9765 news_682 news_418 news_5449 news_11100 news_5232	news_2515-1 news_2451-0 news_2592-0 news_2402-0 news_2499-0 news_2556-0
10458	U3437	news_7838 news_5232 news_5296 news_4176 news_378 news_9688 news_212 news_606 news_239	news_2455-0 news_2567-1 news_12172-0 news_2485-0 news_2506-0 news_2409-0
10195	U3358	news_4529 news_5633 news_5256 news_751 news_11074 news_9032 news_4412	news_4694-0 news_9489-0 news_5107-0 news_2627-1 news_2646-0 news_4541-0
12392	U4109	news_4546	news_9940-1 news_12015-0 news_1226-0 news_11991-0 news_2627-0 news_2515-0
7127	U2178	news_11981 news_5502 news_4831	news_9749-0 news_8977-0 news_4510-1 news_1285-0 news_3443-0
10371	U3410	news_7406 news_260 news_7955 news_5997	news_5140-0 news_5073-0 news_4739-0 news_4464-0 news_4444-1 news_4778-0
2418	U718	news_10197 news_4744 news_9284 news_11330 news_5115 news_157	news_10201-0 news_4808-0 news_2425-0 news_8979-0 news_10025-1 news_565-0
9812	U3222	news_4179 news_405 news_3144 news_4988 news_9319 news_341 news_168 news_152	news_593-0 news_12120-1 news_3233-0 news_2821-0 news_328-0 news_243-0
14834	U5094	news_4065 news_4393 news_9603 news_2886 news_548 news_4110	news_9647-0 news_802-1 news_7516-0 news_2445-0 news_137-0 news_7296-0
10927	U3601	news_4210	news_4297-1 news_9514-0 news_9882-0 news_2627-0 news_524-0 news_310-0
9730	U3195	news_284 news_3050 news_576 news_12033 news_4086 news_4743 news_5184	news_4639-0 news_4353-1 news_5428-0 news_4291-0 news_4153-0 news_4400-0
9456	U3099	news_12160 news_4694 news_3158 news_9710	news_540-0 news_4855-1 news_5502-0 news_4120-0 news_2608-0 news_11639-0
2239	U668	news_10172 news_9612 news_3248 news_3300	news_7773-0 news_4389-1 news_4694-0 news_9305-0 news_4633-0
5826	U1771	news_10153 news_10115 news_5299 news_9185 news_5180 news_4222 news_2503 news_6 news_9047 news_9930	news_4348-0 news_4376-0 news_4890-0 news_4192-0 news_4888-0 news_4058-1
7848	U2502		news_10047-0 news_9514-0 news_10937-0 news_9700-0 news_2627-0 news_12075-1
4079	U1236	news_189 news_9689 news_10066 news_221 news_4274 news_2590	news_11462-1 news_9489-0 news_415-0 news_4286-0 news_10044-0 news_11526-0
1509	U445		news_1-1 news_112-0 news_9095-0 news_4726-0 news_4669-0
5004	U1516	news_10095 news_9326 news_5042 news_2784 news_776 news_3133 news_3100 news_9643	news_8868-1 news_73-0 news_2385-0 news_5242-0 news_12172-0 news_9694-0
14897	U5115	news_10950	news_5310-1 news_9978-0 news_5363-0 news_2539-0 news_9849-0 news_12163-0
3137	U931	news_757 news_397 news_84 news_2562 news_11635 news_11931 news_5058 news_9577 news_5067 news_3717	news_7722-0 news_6117-0 news_2499-1 news_676-0 news_4681-0 news_8948-0
3481	U1043	news_4417	news_4054-0 news_4201-1 news_4869-0 news_5346-0 news_5127-0 news_4105-0
7351	U2283	news_4416 news_9401	news_2627-1 news_395-0 news_5214-0 news_10953-0 news_110-0
5206	U1575	news_10047 news_2615 news_4120 news_471 news_11312 news_1310 news_3175 news_2816 news_10136	news_334-0 news_6117-0 news_12091-0 news_2445-0 news_2653-0 news_11931-1
1153	U339	news_7746 news_7726 news_11591	news_226-0 news_563-0 news_10990-0 news_5474-1 news_9489-0
509	U138	news_4707 news_5288	news_2646-0 news_2533-0 news_2593-0 news_2580-0 news_2653-1 news_2552-0
5400	U1645		news_9489-0 news_10937-0 news_12091-1 news_5509-0 news_6117-0 news_12172-0
10018	U3295	news_199 news_2900 news_480 news_1285 news_4292 news_2837 news_2653	news_9987-0 news_9607-1 news_4180-0 news_2574-0 news_2580-0 news_4514-0
124	U32	news_8914 news_3594 news_9976 news_3561 news_669 news_2590 news_622 news_2696 news_826 news_11968	news_418-1 news_10229-0 news_11950-0 news_3700-0 news_11963-0 news_10186-0
1180	U349	news_12119 news_10111 news_3612 news_9967 news_5114	news_4869-0 news_3758-0 news_11390-0 news_9545-0 news_37-0 news_463-1
14478	U4881	news_5533 news_808 news_2925 news_10179 news_684 news_9576 news_2181 news_10156	news_8868-1 news_11931-0 news_9720-0 news_10040-0 news_575-0 news_5451-0
4113	U1251	news_4755 news_3349 news_2479 news_10050 news_12194 news_10053 news_10978 news_9949	news_5640-0 news_679-1 news_2473-0 news_9829-0 news_5227-0 news_6304-0
14109	U4718	news_5540 news_5500	news_2584-0 news_12198-0 news_879-0 news_10130-0 news_6532-0 news_9387-1
1489	U437	news_331 news_4743 news_5474 news_7840 news_2287 news_9725 news_816 news_8872 news_14 news_3730	news_5046-1 news_5395-0 news_4383-0 news_4145-0 news_4722-0 news_4487-0
5296	U1602	news_7595 news_2472 news_2650 news_5371 news_5159 news_8838 news_3193 news_866	news_5088-0 news_10228-0 news_11950-1 news_4149-0 news_3265-0 news_7927-0
11365	U3762		news_9972-1 news_342-0 news_9489-0 news_12141-0 news_1248-0 news_2503-0
5001	U1516	news_10095 news_9326 news_5042 news_2784 news_776 news_3133 news_3100 news_9643	news_9602-0 news_7516-1 news_5360-0 news_12024-0 news_2503-0 news_9691-0
8856	U2872	news_327 news_7914	news_2473-0 news_2620-0 news_2945-0 news_2431-0 news_2588-0
8012	U2566	news_4860 news_7909 news_9066 news_12126	news_2339-1 news_2556-0 news_2429-0 news_2645-0 news_2555-0 news_2402-0
14516	U4918		news_11639-0 news_2718-0 news_5181-1 news_4659-0 news_7733-0
9977	U3282	news_235 news_2524	news_4500-0 news_4430-0 news_9380-1 news_4970-0 news_4124-0 news_4958-0
14934	U5130	news_7692 news_5452 news_3580 news_4464 news_5239 news_4974	news_802-0 news_4400-0 news_9737-1 news_2627-0 news_12138-0 news_4363-0
4429	U1357	news_4814 news_7951 news_4666 news_286 news_2760 news_5042 news_12157 news_9595	news_4224-1 news_4315-0 news_4703-0 news_5174-0 news_4992-0 news_4892-0
1430	U422	news_10021 news_5006 news_8844 news_754 news_9752 news_9157	news_9703-0 news_6040-0 news_2448-0 news_3014-0 news_804-0
6997	U2133	news_8993 news_3175 news_6867	news_2468-0 news_2343-0 news_4910-0 news_10942-0
1309	U390	news_8808 news_512 news_562 news_9876 news_10979 news_9621	news_2822-0 news_12150-0 news_10093-0 news_4942-1 news_3595-0
12540	U4157		news_12172-0 news_6304-0 news_7832-0 news_9489-1 news_409-0 news_2445-0
2629	U774	news_2515 news_11996 news_4126 news_5299 news_11217 news_3171 news_2942 news_9991 news_9675	news_9902-0 news_9602-0 news_12091-0 news_9898-1 news_268-0 news_10134-0
14937	U5133	news_9581 news_11462	news_4426-0 news_4587-0 news_5085-0 news_5321-0 news_5141-1 news_4662-0
667	U188	news_9160 news_3219 news_297	news_2470-0 news_2497-0 news_2445-0 news_2503-0 news_2486-0 news_2452-1
12890	U4263	news_4239 news_4379 news_12189	news_4192-0 news_5094-0 news_5152-0 news_5217-0 news_5177-1 news_5021-0
5269	U1594	news_4346 news_4827 news_5201 news_9940	news_509-0 news_10069-0 news_3124-1 news_9960-0
9221	U3008		news_2416-0 news_3705-0 news_12172-0 news_11312-0 news_69-1 news_10044-0
4853	U1478	news_9855 news_9218	news_4855-0 news_540-0 news_5502-0 news_2608-0 news_4120-0 news_3225-1
6155	U1863		news_2627-0 news_4330-1 news_4423-0 news_4298-0 news_11312-0 news_4645-0
1438	U423	news_9079 news_3476 news_11033 news_2640	news_3394-0 news_9671-0 news_2539-0 news_7616-0 news_2645-1
470	U127		news_2469-0 news_11998-0 news_2485-0 news_2455-0 news_5021-0 news_2503-1
3589	U1079	news_194 news_654 news_4066 news_8766	news_10956-0 news_5291-0 news_583-0 news_3247-1 news_9618-0 news_3011-0
515	U140	news_754 news_9542	news_10084-0 news_5305-0 news_10234-0 news_5065-1 news_12172-0 news_12084-0
10264	U3375	news_2533	news_9185-0 news_6303-0 news_10086-1 news_4829-0 news_7957-0 news_378-0
8411	U2715	news_4490	news_11995-1 news_9489-0 news_2738-0 news_10084-0 news_169-0
13595	U4508	news_12214 news_3437 news_9937 news_9707 news_4972 news_2615	news_663-0 news_10227-1 news_2627-0 news_9221-0 news_4899-0 news_10084-0
8258	U2659	news_149 news_11362 news_5337	news_2343-0 news_2550-1 news_2647-0 news_10130-0 news_2578-0 news_2646-0
11952	U3971	news_4177 news_5467	news_9987-0 news_723-0 news_6642-1 news_4355-0 news_4298-0 news_802-0
4783	U1463	news_5143 news_4877 news_2249 news_10017 news_3074 news_9339	news_10190-0 news_8868-0 news_10089-1 news_5135-0 news_4195-0 news_733-0
10395	U3418	news_96 news_12022 news_4594 news_4574 news_11939 news_9261 news_8756 news_703 news_712 news_9817	news_2627-1 news_12172-0 news_9489-0 news_2315-0 news_2490-0 news_2606-0
8196	U2636	news_10956 news_406 news_9880 news_7904	news_4899-0 news_4123-0 news_9565-0 news_395-1 news_7406-0 news_7452-0
7183	U2206	news_12134 news_5449 news_3350 news_11965 news_2706 news_2254 news_11685	news_3615-1 news_4228-0 news_4807-0 news_2544-0 news_9431-0
11293	U3741	news_9762 news_2666	news_2542-1 news_11630-0 news_4693-0 news_5216-0 news_5053-0
5042	U1525	news_10028 news_9218 news_179 news_2375 news_10045 news_9955 news_9006 news_7953 news_394 news_11526	news_3705-0 news_10953-0 news_5036-1 news_10108-0 news_4423-0
12459	U4127		news_9691-1 news_638-0 news_542-0 news_6642-0 news_12075-0 news_2503-0
314	U84	news_8896 news_522	news_538-1 news_12091-0 news_2591-0 news_2473-0 news_6117-0 news_2532-0
3608	U1085	news_9881 news_8861 news_10959 news_282 news_503 news_144 news_5144 news_5512	news_583-0 news_3011-0 news_463-0 news_9618-0 news_5291-0 news_826-1
13446	U4445		news_5120-0 news_5299-0 news_4746-1 news_4283-0 news_5065-0 news_5174-0
9300	U3048	news_9535 news_242 news_3446 news_659 news_3714 news_7730	news_10994-0 news_4534-1 news_4985-0 news_4915-0 news_306-0 news_559-0
10541	U3464	news_4839 news_3530 news_4623 news_3050 news_12046 news_2439	news_4991-0 news_2627-1 news_3151-0 news_3558-0 news_7452-0 news_6936-0
2998	U893	news_830 news_7775 news_11982	news_292-0 news_11614-0 news_8872-0 news_601-0 news_337-1
4055	U1227	news_7406 news_8971 news_11639 news_8878 news_418 news_4330 news_242 news_5210 news_10992	news_9173-0 news_11097-0 news_4771-0 news_9744-0 news_10010-0 news_11005-1
