uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	BIG6	BIG7	BIG8	BIG9	BIG10	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	Republican	Democrat	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U2	1	28	5	0	0	0	1	4	3	4	6	5	3	4	5	5	6	4	4	6	5	4	6	6	6	5	6	6	6	6	4	6	4	5	6	5	4	4	5	7	6	6	6	5	5	4	6	7	6	6	4	4	5	6	5	4	6	7	6	5	6	6	4	6	4	6	4	5	5	5	6	7	6	4	73	50	11	5	7	6	6	5	4	6	5	6	4	50.0	6	5
U4	1	31	1	0	0	0	2	5	7	7	7	4	2	5	7	5	1	7	1	7	5	6	1	7	1	1	5	3	6	1	7	4	2	7	2	6	2	1	1	1	2	1	1	1	1	2	1	1	3	2	1	5	7	5	4	7	6	1	7	1	3	1	1	4	1	2	2	1	7	7	5	7	5	7	0	100	6	7	6	7	7	6	5	5	6	6	2	100.0	1	2
U5	1	85	4	0	0	3	2	4	4	5	4	5	3	4	5	3	1	5	1	3	2	6	1	7	2	1	7	1	2	4	4	1	5	3	6	2	2	3	3	2	6	2	3	1	6	6	2	4	4	3	1	2	7	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	4	5	4	5	2	3	84	26	7	1	1	4	1	4	3	3	3	6	2	0.0	1	1
U7	1	36	4	0	0	1	0	4	2	4	3	5	5	2	3	6	3	6	5	6	5	2	3	5	4	3	1	2	3	3	4	5	5	3	5	3	4	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3	1	3	4	4	2	1	1	1	1	2	2	2	1	3	2	2	3	4	2	2	4	3	0	0	4	4	3	1	3	3	3	1	2	5	4	5.0	2	3
U9	0	63	3	0	0	0	4	4	6	6	5	4	5	4	5	2	3	5	3	3	6	5	2	6	2	2	5	5	6	5	4	5	4	5	5	4	4	4	4	4	4	4	3	3	5	5	5	4	5	4	4	2	5	3	5	1	1	1	2	1	4	1	3	3	2	2	3	1	4	6	4	4	5	5	27	30	6	5	5	5	4	4	5	5	5	4	5	0.0	5	5
U11	0	44	5	0	0	0	5	6	6	6	7	7	7	6	7	7	7	6	6	7	7	6	7	6	7	7	6	6	6	7	7	6	7	6	6	7	7	1	1	7	1	1	1	7	6	7	6	7	6	7	6	7	6	7	6	6	7	7	7	6	6	7	7	6	7	7	6	6	7	7	6	7	6	6	100	49	10	7	7	6	6	6	7	6	7	7	6	100.0	6	6
U12	0	75	3	0	0	0	5	2	6	3	3	4	4	3	4	1	5	5	6	3	7	3	2	4	3	3	4	2	4	4	3	4	4	5	3	3	5	3	5	4	3	4	1	2	3	3	2	2	2	3	1	6	6	6	1	1	1	1	1	2	1	1	1	1	1	1	1	1	5	6	7	5	6	5	0	100	2	6	5	5	4	6	3	3	3	3	3	0.0	2	2
U13	0	32	5	0	0	0	5	7	7	7	6	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	7	7	7	1	7	6	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	100	100	11	7	7	7	7	7	7	7	7	7	7	100.0	7	7
U14	1	57	1	0	0	0	5	7	7	7	7	7	7	7	7	7	1	7	1	7	7	7	1	7	7	1	7	7	7	7	7	7	1	7	7	7	1	7	7	7	7	7	1	7	7	1	1	1	1	1	1	7	7	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	7	7	7	7	7	7	100	0	6	7	7	7	7	7	6	7	7	1	1	0.0	1	1
U16	0	64	1	0	0	0	5	4	6	5	4	4	6	3	4	4	3	7	2	4	6	5	1	7	2	2	7	6	2	4	2	6	3	6	4	2	6	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	7	1	1	1	1	1	1	5	6	6	7	2	1	5	2	1	6	6	6	7	7	6	90	9	9	7	7	7	6	6	6	7	6	5	3	0.0	1	1
U17	1	19	1	0	0	0	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	1	1	7	1	1	1	7	1	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	100	100	11	7	7	7	7	7	7	7	7	7	7	50.0	7	7
U18	0	21	1	0	0	0	0	4	7	7	6	7	6	7	7	7	6	7	5	6	7	6	3	7	7	6	2	6	7	6	7	3	6	4	4	6	7	3	3	4	5	5	3	6	2	6	6	6	4	5	6	7	6	5	6	5	6	6	5	5	5	7	6	7	7	5	7	7	5	6	6	6	6	7	96	92	6	3	4	6	4	6	3	4	5	6	5	50.0	5	7
U19	1	24	1	0	0	3	1	4	5	4	4	6	5	4	5	5	6	5	5	5	4	5	3	4	3	4	4	4	5	5	5	3	4	4	4	4	4	4	3	5	4	4	4	3	3	3	3	2	4	4	3	6	5	4	5	6	4	3	5	4	6	6	3	3	6	4	4	5	4	4	5	5	3	5	79	89	6	4	4	5	4	4	5	5	3	4	5	10.0	5	5
